"id","path_id","level_id","component_added","stress","median","verification","diff","context_name","context_type","component_type"
"319297c10d09551c941b6174acce5f6e",6,60,"m.tree_get_right.4.unfold.pred_inst.51",32,222605025,"gradual",-5695655,"tree_get_right","unfold","pred_inst"
"361a38172dd0d6f5ab20e858f51e086e",0,61,"m.tree_has_left.3.fold.pred_inst.61",16,8438460,"gradual",-2247479,"tree_has_left","fold","pred_inst"
"361a38172dd0d6f5ab20e858f51e086e",0,61,"m.tree_has_left.3.fold.pred_inst.61",18,12124724,"gradual",-3171015,"tree_has_left","fold","pred_inst"
"361a38172dd0d6f5ab20e858f51e086e",0,61,"m.tree_has_left.3.fold.pred_inst.61",20,17114520,"gradual",-4736881,"tree_has_left","fold","pred_inst"
"361a38172dd0d6f5ab20e858f51e086e",0,61,"m.tree_has_left.3.fold.pred_inst.61",22,21943777,"gradual",-5168821,"tree_has_left","fold","pred_inst"
"361a38172dd0d6f5ab20e858f51e086e",0,61,"m.tree_has_left.3.fold.pred_inst.61",24,27639987,"gradual",-8362817,"tree_has_left","fold","pred_inst"
"361a38172dd0d6f5ab20e858f51e086e",0,61,"m.tree_has_left.3.fold.pred_inst.61",26,37275310,"gradual",-9664750,"tree_has_left","fold","pred_inst"
"361a38172dd0d6f5ab20e858f51e086e",0,61,"m.tree_has_left.3.fold.pred_inst.61",28,45549862,"gradual",-11500595,"tree_has_left","fold","pred_inst"
"361a38172dd0d6f5ab20e858f51e086e",0,61,"m.tree_has_left.3.fold.pred_inst.61",30,54020287,"gradual",-13970011,"tree_has_left","fold","pred_inst"
"361a38172dd0d6f5ab20e858f51e086e",0,61,"m.tree_has_left.3.fold.pred_inst.61",32,63700653,"gradual",-17332191,"tree_has_left","fold","pred_inst"
"279c0afe8b5f620c6e0dc2a660321f39",3,61,"m.tree_get_left.3.fold.pred_inst.36",28,114825973,"gradual",-2057713,"tree_get_left","fold","pred_inst"
"115da0d0e234404e128d5bff8bbbb745",4,62,"p.context.6.pred.acc.74",26,3290785,"gradual",-19128466,"context","pred","acc"
"319297c10f09551c941b6174acee5f6e",6,62,"m.tree_get_left.3.fold.pred_inst.36",32,227302387,"gradual",-3356852,"tree_get_left","fold","pred_inst"
"319297c10f09551c941b6174aeee5f6f",6,64,"p.subtreeHelper.6.pred.default.100",24,99593425,"gradual",-2289838,"subtreeHelper","pred","default"
"279c4afe8b5f720c6e0fe2a660321f39",3,65,"p.context.6.pred.acc.76",28,166314884,"gradual",-5930777,"context","pred","acc"
"319697c10f09551c941b6174aeee5f6f",6,65,"m.main.5.inv.pred_inst.11",14,19569601,"gradual",-1887996,"main","inv","pred_inst"
"319697c10f09551c941b6174aeee5f6f",6,65,"m.main.5.inv.pred_inst.11",16,30295181,"gradual",-3713568,"main","inv","pred_inst"
"319697c10f09551c941b6174aeee5f6f",6,65,"m.main.5.inv.pred_inst.11",18,42657216,"gradual",-4236767,"main","inv","pred_inst"
"319697c10f09551c941b6174aeee5f6f",6,65,"m.main.5.inv.pred_inst.11",20,54573167,"gradual",-5366325,"main","inv","pred_inst"
"319697c10f09551c941b6174aeee5f6f",6,65,"m.main.5.inv.pred_inst.11",22,71053892,"gradual",-7296786,"main","inv","pred_inst"
"319697c10f09551c941b6174aeee5f6f",6,65,"m.main.5.inv.pred_inst.11",24,89455649,"gradual",-10137776,"main","inv","pred_inst"
"319697c10f09551c941b6174aeee5f6f",6,65,"m.main.5.inv.pred_inst.11",26,113537036,"gradual",-14397509,"main","inv","pred_inst"
"319697c10f09551c941b6174aeee5f6f",6,65,"m.main.5.inv.pred_inst.11",28,142016191,"gradual",-17683262,"main","inv","pred_inst"
"319697c10f09551c941b6174aeee5f6f",6,65,"m.main.5.inv.pred_inst.11",30,167331499,"gradual",-18880785,"main","inv","pred_inst"
"319697c10f09551c941b6174aeee5f6f",6,65,"m.main.5.inv.pred_inst.11",32,211021991,"gradual",-21057581,"main","inv","pred_inst"
"279ccafe8b5f720c6e0fe2a660321f39",3,66,"m.tree_add_left.2.post.pred_inst.14",24,105100775,"gradual",-2972890,"tree_add_left","post","pred_inst"
"279ccafe8b5f720c6e0fe2a660321f3b",3,67,"p.tree.6.pred.acc.124",32,244454600,"gradual",-1703246,"tree","pred","acc"
"319697c10f09551cd51b6174aeee5f6f",6,67,"m.tree_has_right.3.fold.pred_inst.69",10,7402541,"gradual",-1670499,"tree_has_right","fold","pred_inst"
"319697c10f09551cd51b6174aeee5f6f",6,67,"m.tree_has_right.3.fold.pred_inst.69",12,10115743,"gradual",-2985005,"tree_has_right","fold","pred_inst"
