"conjuncts","type","path_id","level_id"
1462,"static",1,116
1466,"static",1,117
1445,"static",1,118
1498,"static",1,119
1502,"static",1,120
1502,"static",1,121
1504,"static",1,122
1605,"static",1,123
1434,"static",1,124
1523,"static",1,125
181,"static",2,1
181,"static",2,2
185,"static",2,3
185,"static",2,4
185,"static",2,5
187,"static",2,6
187,"static",2,7
187,"static",2,8
192,"static",2,9
192,"static",2,10
192,"static",2,11
192,"static",2,12
192,"static",2,13
194,"static",2,14
195,"static",2,15
197,"static",2,16
197,"static",2,17
199,"static",2,18
199,"static",2,19
199,"static",2,20
199,"static",2,21
201,"static",2,22
201,"static",2,23
201,"static",2,24
203,"static",2,25
203,"static",2,26
205,"static",2,27
205,"static",2,28
205,"static",2,29
205,"static",2,30
209,"static",2,31
209,"static",2,32
209,"static",2,33
213,"static",2,34
217,"static",2,35
217,"static",2,36
220,"static",2,37
225,"static",2,38
225,"static",2,39
230,"static",2,40
230,"static",2,41
231,"static",2,42
231,"static",2,43
231,"static",2,44
237,"static",2,45
125,"static",2,46
127,"static",2,47
127,"static",2,48
132,"static",2,49
132,"static",2,50
132,"static",2,51
132,"static",2,52
132,"static",2,53
132,"static",2,54
134,"static",2,55
135,"static",2,56
193,"static",2,57
198,"static",2,58
198,"static",2,59
202,"static",2,60
202,"static",2,61
203,"static",2,62
203,"static",2,63
228,"static",2,64
233,"static",2,65
241,"static",2,66
241,"static",2,67
242,"static",2,68
247,"static",2,69
247,"static",2,70
255,"static",2,71
255,"static",2,72
257,"static",2,73
259,"static",2,74
260,"static",2,75
260,"static",2,76
273,"static",2,77
273,"static",2,78
273,"static",2,79
487,"static",2,80
490,"static",2,81
492,"static",2,82
503,"static",2,83
505,"static",2,84
505,"static",2,85
505,"static",2,86
593,"static",2,87
657,"static",2,88
722,"static",2,89
870,"static",2,90
874,"static",2,91
874,"static",2,92
920,"static",2,93
948,"static",2,94
948,"static",2,95
930,"static",2,96
943,"static",2,97
947,"static",2,98
951,"static",2,99
974,"static",2,100
1064,"static",2,101
