"id","path_id","level_id","stress","diff_grad","percent_diff_grad"
"30000040000000800008000000402102000000000000",0,9,8,-0.000812586,-36.9565153125906
"30000040000000800008000000402102000000000000",0,9,16,-0.0045527105,-67.3005586020698
"30000040080000800008000000402102000000000000",0,10,4,-0.000273221,-18.2567420968983
"30000040080000800008000000402102000000000000",0,10,8,-0.000899572,-39.6085604882625
"30000040080000800008000000402102000000000000",0,10,16,-0.011926336,-85.9030732928632
"30000040280000800008000000402102000000000000",0,11,4,-0.0002252575,-15.316189744444
"30000040280000800008000000402102000000000000",0,11,8,-0.00160968,-52.2803302435254
"30000040280000800008000000402102000000000000",0,11,16,-0.013873197,-86.8628816597543
"30000040280000800008000000402102200000000000",0,12,4,-0.0003638055,-23.0369278650479
"30000040280000800008000000402102200000000000",0,12,8,-0.001573873,-53.3926399057717
"30000040280000800008000000402102200000000000",0,12,16,-0.0116073635,-86.0631419870584
"300000402c0000800008000000402102200000000000",0,13,4,-0.0003557545,-22.1877707170036
"300000402c0000800008000000402102200000000000",0,13,8,-0.0016688095,-54.7927904944506
"300000402c0000800008000000402102200000000000",0,13,16,-0.0136524465,-88.2529597986719
"300000482c0000800008000000402102200000000000",0,14,4,-0.00024924,-16.2011058795311
"300000482c0000800008000000402102200000000000",0,14,8,-0.0015558365,-52.607346664408
"300000482c0000800008000000402102200000000000",0,14,16,-0.0118076645,-84.1695514340435
"300000482c0000800008002000402102200000000000",0,15,4,-0.000270267,-17.2758704669273
"300000482c0000800008002000402102200000000000",0,15,8,-0.001600645,-52.8357049205869
"300000482c0000800008002000402102200000000000",0,15,16,-0.013187322,-86.4500394463334
"300040482c0000800008002000402102200000000000",0,16,4,-0.0001681165,-11.2904996848574
"300040482c0000800008002000402102200000000000",0,16,8,-0.0016426585,-53.8634306038713
"300040482c0000800008002000402102200000000000",0,16,16,-0.016613534,-89.0722126817158
"300040482c0000800008002000402102240000000000",0,17,4,-0.0002755145,-17.7592888923267
"300040482c0000800008002000402102240000000000",0,17,8,-0.001598533,-51.9487698535016
"300040482c0000800008002000402102240000000000",0,17,16,-0.0127859915,-87.1902348508656
"300040682c0000800008002000402102240000000000",0,18,4,-0.0003082805,-20.1826570711692
"300040682c0000800008002000402102240000000000",0,18,8,-0.0016333035,-54.2534363813138
"300040682c0000800008002000402102240000000000",0,18,16,-0.0128290285,-84.7155751375098
"300040682e0000800008002000402102240000000000",0,19,4,-0.000375527,-23.6218981582535
"300040682e0000800008002000402102240000000000",0,19,8,-0.0017754155,-56.8075334438075
"300040682e0000800008002000402102240000000000",0,19,16,-0.0150851,-89.1834547667738
