"id","path_id","level_id","component_added","stress","median","verification","diff"
"44a401902288003c0e02",6,20,"m.appendLemmaLoopBody.3.fold.37",52,2241421,"gradual",-189498
"44a401902288003c0e02",6,20,"m.appendLemmaLoopBody.3.fold.37",56,2382073,"gradual",-264179
"44a401902288003c0e02",6,20,"m.appendLemmaLoopBody.3.fold.37",60,2658337,"gradual",-254100
"520140002ab020de062",0,21,"m.appendLemmaAfterLoopBody.1.pre.6",60,2689754,"gradual",-197334
"72627218402053108000",1,21,"m.appendLemmaLoopBody.2.post.32",40,1658446,"gradual",-191033
"72627218402053108000",1,21,"m.appendLemmaLoopBody.2.post.32",60,2458453,"gradual",-247149
"44a411902288003c0e02",6,21,"m.appendLemmaLoopBody.1.pre.18",64,2797329,"gradual",-182971
"2031a0da0528034e2000",2,22,"m.appendLemmaAfterLoopBody.3.fold.14",0,949651,"gradual",-764508
"2031a0da0528034e2000",2,22,"m.appendLemmaAfterLoopBody.3.fold.14",8,954913,"gradual",-201568
"2031a0da0528034e2000",2,22,"m.appendLemmaAfterLoopBody.3.fold.14",20,1212692,"gradual",-179164
"2031a0da0528034e2000",2,22,"m.appendLemmaAfterLoopBody.3.fold.14",32,1487255,"gradual",-552165
"2031a0da0528034e2000",2,22,"m.appendLemmaAfterLoopBody.3.fold.14",36,1668469,"gradual",-537012
"2031a0da0528034e2000",2,22,"m.appendLemmaAfterLoopBody.3.fold.14",40,1747119,"gradual",-450108
"2031a0da0528034e2000",2,22,"m.appendLemmaAfterLoopBody.3.fold.14",44,1894784,"gradual",-268132
"2031a0da0528034e2000",2,22,"m.appendLemmaAfterLoopBody.3.fold.14",64,2889751,"gradual",-354395
"191800004f090f015b10",7,23,"m.list_insert.3.fold.46",40,1765763,"gradual",-225044
"560168002ab020de062",0,24,"m.appendLemmaLoopBody.1.pre.23",40,1790328,"gradual",-178701
"10003c0086bc87934805",3,25,"m.list_insert.1.pre.42",44,1997814,"gradual",-291567
"560168002ab021de066",0,26,"p.sortedSegHelper.6.pred.76",64,2966312,"gradual",-278488
"7262fa18c02553108100",1,27,"m.list_insert.3.fold.46",0,905248,"gradual",-195167
"7262fa18c02553108100",1,27,"m.list_insert.3.fold.46",4,854374,"gradual",-184297
"7262fa18c02553108100",1,27,"m.list_insert.3.fold.46",8,877650,"gradual",-214865
"7262fa18c02553108100",1,27,"m.list_insert.3.fold.46",12,903888,"gradual",-234398
"7262fa18c02553108100",1,27,"m.list_insert.3.fold.46",20,1112474,"gradual",-189437
"7262fa18c02553108100",1,27,"m.list_insert.3.fold.46",24,1156204,"gradual",-209616
"7262fa18c02553108100",1,27,"m.list_insert.3.fold.46",28,1270149,"gradual",-210335
"7262fa18c02553108100",1,27,"m.list_insert.3.fold.46",32,1422757,"gradual",-206719
"7262fa18c02553108100",1,27,"m.list_insert.3.fold.46",36,1552913,"gradual",-200091
"7262fa18c02553108100",1,27,"m.list_insert.3.fold.46",40,1632496,"gradual",-225558
"7262fa18c02553108100",1,27,"m.list_insert.3.fold.46",44,1815226,"gradual",-237092
"7262fa18c02553108100",1,27,"m.list_insert.3.fold.46",48,2051161,"gradual",-184681
"7262fa18c02553108100",1,27,"m.list_insert.3.fold.46",56,2369540,"gradual",-191963
"7262fa18c02553108100",1,27,"m.list_insert.3.fold.46",60,2553672,"gradual",-208491
"7262fa18c02553108100",1,27,"m.list_insert.3.fold.46",64,2792496,"gradual",-207591
"726afa18c02553108108",1,29,"m.appendLemmaAfterLoopBody.2.post.11",48,1962198,"gradual",-378445
"726afa18c02553108108",1,29,"m.appendLemmaAfterLoopBody.2.post.11",52,2138281,"gradual",-221283
"726afa18c02553108108",1,29,"m.appendLemmaAfterLoopBody.2.post.11",56,2337541,"gradual",-246761
"726afa18c02553108108",1,29,"m.appendLemmaAfterLoopBody.2.post.11",60,2570374,"gradual",-249122
"726afa18c02553108108",1,29,"m.appendLemmaAfterLoopBody.2.post.11",64,2770903,"gradual",-260844
"4562168002ef221de066",0,31,"m.list_insert.4.unfold.49",44,1948037,"gradual",-252919
