"conjuncts","type","path_id","level_id"
5050,"static",4,38
4990,"static",4,39
4992,"static",4,40
5060,"static",4,41
4975,"static",4,42
8367,"static",4,43
8373,"static",4,44
8373,"static",4,45
8375,"static",4,46
8375,"static",4,47
8375,"static",4,48
8385,"static",4,49
8389,"static",4,50
8389,"static",4,51
8457,"static",4,52
8525,"static",4,53
8653,"static",4,54
8719,"static",4,55
8797,"static",4,56
8797,"static",4,57
8806,"static",4,58
8807,"static",4,59
8817,"static",4,60
8889,"static",4,61
9341,"static",4,62
9745,"static",4,63
9813,"static",4,64
9817,"static",4,65
9821,"static",4,66
9821,"static",4,67
9826,"static",4,68
9885,"static",4,69
9887,"static",4,70
9887,"static",4,71
9952,"static",4,72
10041,"static",4,73
10049,"static",4,74
15073,"static",4,75
15585,"static",4,76
15777,"static",4,77
16074,"static",4,78
959,"static",5,1
959,"static",5,2
965,"static",5,3
965,"static",5,4
989,"static",5,5
1039,"static",5,6
1049,"static",5,7
1041,"static",5,8
1041,"static",5,9
1038,"static",5,10
1040,"static",5,11
1046,"static",5,12
1062,"static",5,13
1063,"static",5,14
1038,"static",5,15
1039,"static",5,16
1048,"static",5,17
1073,"static",5,18
1072,"static",5,19
1078,"static",5,20
1110,"static",5,21
1112,"static",5,22
1112,"static",5,23
1111,"static",5,24
1127,"static",5,25
1179,"static",5,26
1189,"static",5,27
1190,"static",5,28
1190,"static",5,29
1196,"static",5,30
1270,"static",5,31
1270,"static",5,32
1273,"static",5,33
1321,"static",5,34
1334,"static",5,35
1514,"static",5,36
1518,"static",5,37
1543,"static",5,38
1555,"static",5,39
2035,"static",5,40
2042,"static",5,41
2046,"static",5,42
2718,"static",5,43
2718,"static",5,44
2724,"static",5,45
2730,"static",5,46
2736,"static",5,47
2736,"static",5,48
2772,"static",5,49
5412,"static",5,50
5420,"static",5,51
5420,"static",5,52
5422,"static",5,53
9070,"static",5,54
9137,"static",5,55
9589,"static",5,56
9627,"static",5,57
9638,"static",5,58
10150,"static",5,59
10216,"static",5,60
10216,"static",5,61
10283,"static",5,62
10285,"static",5,63
10297,"static",5,64
10302,"static",5,65
15326,"static",5,66
15330,"static",5,67
15334,"static",5,68
15334,"static",5,69
15334,"static",5,70
15338,"static",5,71
15468,"static",5,72
15472,"static",5,73
15542,"static",5,74
15546,"static",5,75
15612,"static",5,76
15909,"static",5,77
15913,"static",5,78
968,"static",6,1
960,"static",6,2
1026,"static",6,3
1026,"static",6,4
1026,"static",6,5
1026,"static",6,6
1074,"static",6,7
1072,"static",6,8
1087,"static",6,9
1093,"static",6,10
1175,"static",6,11
1179,"static",6,12
1203,"static",6,13
1202,"static",6,14
1218,"static",6,15
1215,"static",6,16
2135,"static",6,17
2135,"static",6,18
2151,"static",6,19
2161,"static",6,20
2175,"static",6,21
2197,"static",6,22
2099,"static",6,23
2104,"static",6,24
2087,"static",6,25
2091,"static",6,26
2091,"static",6,27
2091,"static",6,28
2091,"static",6,29
2091,"static",6,30
2091,"static",6,31
2125,"static",6,32
2131,"static",6,33
2308,"static",6,34
2428,"static",6,35
2432,"static",6,36
2432,"static",6,37
2672,"static",6,38
2675,"static",6,39
2677,"static",6,40
2741,"static",6,41
2869,"static",6,42
4005,"static",6,43
4050,"static",6,44
4050,"static",6,45
4070,"static",6,46
4078,"static",6,47
4086,"static",6,48
4092,"static",6,49
4094,"static",6,50
4098,"static",6,51
4129,"static",6,52
4164,"static",6,53
4172,"static",6,54
4172,"static",6,55
4176,"static",6,56
4180,"static",6,57
4231,"static",6,58
4213,"static",6,59
4213,"static",6,60
4375,"static",6,61
4377,"static",6,62
4697,"static",6,63
4730,"static",6,64
4795,"static",6,65
4834,"static",6,66
4870,"static",6,67
4874,"static",6,68
7914,"static",6,69
7922,"static",6,70
7964,"static",6,71
7999,"static",6,72
8035,"static",6,73
8035,"static",6,74
8051,"static",6,75
8056,"static",6,76
15901,"static",6,77
15912,"static",6,78
962,"static",7,1
964,"static",7,2
964,"static",7,3
996,"static",7,4
1016,"static",7,5
1020,"static",7,6
1021,"static",7,7
1021,"static",7,8
1021,"static",7,9
1037,"static",7,10
1037,"static",7,11
1042,"static",7,12
1810,"static",7,13
1810,"static",7,14
1810,"static",7,15
1810,"static",7,16
1826,"static",7,17
1830,"static",7,18
1827,"static",7,19
1891,"static",7,20
1894,"static",7,21
1898,"static",7,22
1904,"static",7,23
1907,"static",7,24
