"permutation_id","program_name","percent_specified","mean"
5970,"bst",27.6,0.005102324
5970,"bst",27.6,0.223471559
5970,"bst",27.6,0.004547346
5970,"bst",27.6,0.193834219
5972,"list",56,0.002129232
5972,"list",56,3.890576431
5972,"list",56,0.030999161
5972,"list",56,0.289981863
5973,"composite",11.2,0.003073466
5973,"composite",11.2,0.236347461
5973,"composite",11.2,0.002233672
5973,"composite",11.2,0.11294646
5974,"avlja",96.9,0.004703279
5974,"avlja",96.9,92.017058063
5974,"avlja",96.9,0.10602113
5974,"avlja",96.9,5.035262138
5976,"bst",28.1,0.00572397
5976,"bst",28.1,0.242380228
5976,"bst",28.1,0.005120034
5976,"bst",28.1,0.200661203
5977,"composite",11.8,0.003446488
5977,"composite",11.8,0.240352093
5977,"composite",11.8,0.002299631
5977,"composite",11.8,0.117461879
5978,"list",56.9,0.002169664
5978,"list",56.9,3.874293537
5978,"list",56.9,0.032748709
5978,"list",56.9,0.292628941
5980,"avlja",97.4,0.004467481
5980,"avlja",97.4,90.986478349
5980,"avlja",97.4,0.105426475
5980,"avlja",97.4,5.028491913
5982,"bst",28.6,0.005170525
5982,"bst",28.6,0.235614221
5982,"bst",28.6,0.004839176
5982,"bst",28.6,0.198604756
5983,"composite",12.4,0.003487498
5983,"composite",12.4,0.247202649
5983,"composite",12.4,0.002377198
5983,"composite",12.4,0.121415933
5985,"avlja",97.9,0.0044167
5985,"avlja",97.9,89.296761235
5985,"avlja",97.9,0.104894231
5985,"avlja",97.9,5.614712964
5986,"list",57.8,0.001944073
5986,"list",57.8,3.87448588
5986,"list",57.8,0.035978363
5986,"list",57.8,0.29956824
5988,"bst",29,0.005058569
5988,"bst",29,0.236201149
5988,"bst",29,0.004769199
5988,"bst",29,0.203201025
5989,"composite",13,0.00308636
5989,"composite",13,0.239318162
5989,"composite",13,0.002251915
5989,"composite",13,0.119949384
