id,conjuncts_total,conjuncts_elim
1fef7dffe7eff77ffffffef9dfcf6ba6e7f7ffc,1124,668
1fef7dffe7eff77ffffffef9dfcf6be6e7f7ffc,1231,700
1fff7dffe7eff77ffffffef9dfcf6be6e7f7ffc,1266,713
1fff7dffe7eff77ffffffef9dfcf6be6f7f7ffc,1289,723
1fff7dffe7eff77ffffffef9ffcf6be6f7f7ffc,1310,729
1fff7dffe7eff77ffffffff9ffcf6be6f7f7ffc,1316,737
1fff7dffe7eff77ffffffffdffcf6be6f7f7ffc,1320,738
1fff7dffe7eff77ffffffffdffcf6fe6f7f7ffc,1326,744
1fff7dffe7eff77ffffffffdffdf6fe6f7f7ffc,1349,754
1fff7dffe7eff77ffffffffdffdf6fe6f7ffffc,1453,820
1fff7dffe7eff77ffffffffdffff6fe6f7ffffc,1462,832
1fff7dffe7eff77ffffffffdffff7fe6f7ffffc,1467,836
1fff7dfff7eff77ffffffffdffff7fe6f7ffffc,1475,848
1fff7dfff7eff77ffffffffdffff7feef7ffffc,1477,850
1fff7dfff7efff7ffffffffdffff7feef7ffffc,1480,853
1fff7dffffefff7ffffffffdffff7feef7ffffc,1499,873
1ffffdffffefff7ffffffffdffff7feef7ffffc,1492,867
1ffffdffffeffffffffffffdffff7feef7ffffc,1500,879
1ffffdfffffffffffffffffdffff7feef7ffffc,1503,880
1ffffdfffffffffffffffffdffff7feff7ffffc,1506,883
1ffffdfffffffffffffffffdffffffeff7ffffc,1553,898
1ffffdfffffffffffffffffdffffffeff7ffffe,1558,908
1ffffdffffffffffffffffffffffffeff7ffffe,1565,915
1ffffdffffffffffffffffffffffffefffffffe,1572,922
1ffffdffffffffffffffffffffffffffffffffe,1576,926
1ffffdfffffffffffffffffffffffffffffffff,1577,928
1ffffffffffffffffffffffffffffffffffffff,1580,932
4000000000000000000000000000000,209,140
4000000000008000000000000000000,211,142
84000000000008000000000000000000,221,152
84000000000008000000800000000000,221,150
84000000000018000000800000000000,223,152
84000000000018000000800008000000,226,152
84000400000018000000800008000000,227,152
84000402000018000000800008000000,229,154
94000402000018000000800008000000,231,156
494000402000018000000800008000000,234,156
494000402000018000100800008000000,236,158
494000402000018000100800008004000,246,158
494000402100018000100800008004000,246,157
494000482100018000100800008004000,246,156
4940004a2100018000100800008004000,246,156
4940004a2100018000100800008024000,254,164
4940004a2100018000100800008024008,257,164
4940004a2100018000100800008024808,271,175
4940004a2100019000100800008024808,276,177
4940004a2100059000100800008024808,281,182
4940004a2100059000110800008024808,284,184
4940004a2100059000150800008024808,285,184
4940004a2100059400150800008024808,287,184
4940004a2108059400150800008024808,287,184
4940004a2108859400150800008024808,289,186
4940004a210885b400150800008024808,294,189
1000004940004a210885b400150800008024808,294,189
1000004940004a210885b400150800008824808,294,187
1000004940004a210885b408150800008824808,296,189
1000004b40004a210885b408150800008824808,297,189
1000004b40404a210885b408150800008824808,299,191
1000004b40404a210885b408150800008c24808,313,198
1000004b48404a210885b408150800008c24808,318,202
1000004b48404a210885b408150800008ca4808,328,208
1000004b48404a211885b408150800008ca4808,335,212
1000004b48406a211885b408150800008ca4808,337,214
1000004b48406a211885b408154800008ca4808,339,214
1020004b48406a211885b408154800008ca4808,343,218
1020004b48406a311885b408154800008ca4808,346,221
1020004b48406a311c85b408154800008ca4808,346,221
1120004b48406a311c85b408154800008ca4808,346,219
