"id","VCs","conj_type","path_id","level_id","example","% Specified"
"224011284a0112646002680440828204000280",186,"eliminated",0,31,"bst",20.2614379084967
"224011284e0112646002680440828204000280",188,"eliminated",0,32,"bst",20.9150326797386
"2240112c4e0112646002680440828204000280",188,"eliminated",0,33,"bst",21.5686274509804
"2a40112c4e0112646002680440828204000280",185,"eliminated",0,34,"bst",22.2222222222222
"2a40112c6e0112646002680440828204000280",187,"eliminated",0,35,"bst",22.8758169934641
"3a40112c6e0112646002680440828204000280",190,"eliminated",0,36,"bst",23.5294117647059
"3a60112c6e0112646002680440828204000280",187,"eliminated",0,37,"bst",24.1830065359477
"3a62112c6e0112646002680440828204000280",187,"eliminated",0,38,"bst",24.8366013071895
"3a62112c6e0112666002680440828204000280",189,"eliminated",0,39,"bst",25.4901960784314
"3a62112c6e0112666002e80440828204000280",190,"eliminated",0,40,"bst",26.1437908496732
"3a62112c6e0112666006e80440828204000280",190,"eliminated",0,41,"bst",26.797385620915
"3a62112c6e0112666006e80440828204000290",194,"eliminated",0,42,"bst",27.4509803921569
"3a62112c6e0112666006e90440828204000290",196,"eliminated",0,43,"bst",28.1045751633987
"3a62112c6e0112666006e90460828204000290",198,"eliminated",0,44,"bst",28.7581699346405
"3a62112c6e0112666006e90460828204400290",198,"eliminated",0,45,"bst",29.4117647058824
"3a62112c6e011266600ee90460828204400290",200,"eliminated",0,46,"bst",30.0653594771242
"3a62112c6e811266600ee90460828204400290",200,"eliminated",0,47,"bst",30.718954248366
"3a62112c6e811266600ee90460828204400298",204,"eliminated",0,48,"bst",31.3725490196078
"3a62112c6e811266600eeb0460828204400298",204,"eliminated",0,49,"bst",32.0261437908497
"3a62112c6e811266600eeb0460828204402298",202,"eliminated",0,50,"bst",32.6797385620915
"3a62112c6e813266600eeb0460828204402298",203,"eliminated",0,51,"bst",33.3333333333333
"3a62152c6e813266600eeb0460828204402298",206,"eliminated",0,52,"bst",33.9869281045752
"3a62152c6ec13266600eeb0460828204402298",212,"eliminated",0,53,"bst",34.640522875817
"3a62152c6ec13266600eeb0460828204602298",212,"eliminated",0,54,"bst",35.2941176470588
"3ae2152c6ec13266600eeb0460828204602298",213,"eliminated",0,55,"bst",35.9477124183007
"3ae2152c6ec13266600eeb0460828224602298",219,"eliminated",0,56,"bst",36.6013071895425
"3ae21d2c6ec13266600eeb0460828224602298",224,"eliminated",0,57,"bst",37.2549019607843
"3ae21d2c6ec13266620eeb0460828224602298",224,"eliminated",0,58,"bst",37.9084967320261
"3ae21f2c6ec13266620eeb0460828224602298",224,"eliminated",0,59,"bst",38.562091503268
"3ae21f2c6ec13266720eeb0460828224602298",226,"eliminated",0,60,"bst",39.2156862745098
"3ae21f2c6ec13266720eeb0460828224602a98",239,"eliminated",0,61,"bst",39.8692810457516
"3ae21f2c6ec13266722eeb0460828224602a98",241,"eliminated",0,62,"bst",40.5228758169935
"3ae21f2c6ec13266722eeb0460828224602e98",252,"eliminated",0,63,"bst",41.1764705882353
"3ae21f2c6ec1326672aeeb0460828224602e98",253,"eliminated",0,64,"bst",41.8300653594771
"3ae21f2c6ec1326672aeeb0460868224602e98",263,"eliminated",0,65,"bst",42.483660130719
"3ae21f2c6ec1326672aeeb0460868224602e9c",271,"eliminated",0,66,"bst",43.1372549019608
"3ae21f2c6ec1326672aeeb0460868224642e9c",278,"eliminated",0,67,"bst",43.7908496732026
"3ae21f2c6ec1326672aeef0460868224642e9c",278,"eliminated",0,68,"bst",44.4444444444444
"3ae25f2c6ec1326672aeef0460868224642e9c",280,"eliminated",0,69,"bst",45.0980392156863
"3ae25f2c6ec1326672aeef0468868224642e9c",280,"eliminated",0,70,"bst",45.7516339869281
"3ae25f2c6ec132e672aeef0468868224642e9c",280,"eliminated",0,71,"bst",46.4052287581699
"3ae25f2c6ec132e672aeef0468869224642e9c",287,"eliminated",0,72,"bst",47.0588235294118
"3ae25f2c7ec132e672aeef0468869224642e9c",288,"eliminated",0,73,"bst",47.7124183006536
"3ae25f2e7ec132e672aeef0468869224642e9c",292,"eliminated",0,74,"bst",48.3660130718954
"3ae25f2e7ec132e673aeef0468869224642e9c",294,"eliminated",0,75,"bst",49.0196078431373
"3ae25f2e7ec132e673aeef0468869224646e9c",301,"eliminated",0,76,"bst",49.6732026143791
