"id","path_id","level_id","stress","diff_grad","percent_diff_grad"
"22401120400110446000680000008200000200",0,19,32,-8353535,-83.3644029552999
"22401120400110446000680000008200000200",0,19,64,-66946867,-94.8119261848593
"22401120400110446000680000008200000280",0,20,16,-1223041,-55.1029575284426
"22401120400110446000680000008200000280",0,20,32,-8457273,-84.3033891021575
"22401120400110446000680000008200000280",0,20,64,-67144363,-95.0546831159381
"22401128400110446000680000008200000280",0,21,16,-1332957,-58.6513795619089
"22401128400110446000680000008200000280",0,21,32,-8531698,-85.3351734589814
"22401128400110446000680000008200000280",0,21,64,-66824946,-95.374544237404
"22401128400110646000680000008200000280",0,22,16,-1256973,-56.8314497620895
"22401128400110646000680000008200000280",0,22,32,-8498348,-84.5791241233909
"22401128400110646000680000008200000280",0,22,64,-67401267,-95.2545593500923
"22401128400110646000680400008200000280",0,23,16,-1227699,-55.1477157722955
"22401128400110646000680400008200000280",0,23,32,-8663985,-84.7415461505274
"22401128400110646000680400008200000280",0,23,64,-67633337,-95.1579715336233
"22401128400110646000680400008204000280",0,24,16,-1323108,-56.9805364690885
"22401128400110646000680400008204000280",0,24,32,-8534808,-84.7579359195728
"22401128400110646000680400008204000280",0,24,64,-67476443,-95.2950099529784
"22401128400110646002680400008204000280",0,25,16,-1356336,-58.3168408357536
"22401128400110646002680400008204000280",0,25,32,-8361538,-84.6350204083698
"22401128400110646002680400008204000280",0,25,64,-67669699,-95.3254431726612
"22401128400110646002680440008204000280",0,26,16,-1342454,-59.5015087528943
"22401128400110646002680440008204000280",0,26,32,-8646879,-85.2854038503343
"22401128400110646002680440008204000280",0,26,64,-69064936,-95.2331191435335
"22401128400112646002680440008204000280",0,27,16,-1212439,-54.2361819385546
"22401128400112646002680440008204000280",0,27,32,-8270467,-83.6307044270503
"22401128400112646002680440008204000280",0,27,64,-67707487,-94.9521728166199
"22401128400112646002680440808204000280",0,28,16,-1200000,-52.5051520680467
"22401128400112646002680440808204000280",0,28,32,-8386076,-84.7729851384781
"22401128400112646002680440808204000280",0,28,64,-67507032,-95.2319816794446
"22401128480112646002680440808204000280",0,29,16,-1894316,-65.3554064814572
"22401128480112646002680440808204000280",0,29,32,-13930376,-90.2586348714316
"22401128480112646002680440808204000280",0,29,64,-111334174,-97.0373785246822
"22401128480112646002680440828204000280",0,30,16,-1935132,-66.2957782233738
"22401128480112646002680440828204000280",0,30,32,-13863386,-89.7732161040752
"22401128480112646002680440828204000280",0,30,64,-110375040,-96.8682699340281
"224011284a0112646002680440828204000280",0,31,16,-1922284,-66.7873664754023
"224011284a0112646002680440828204000280",0,31,32,-13843317,-89.5489695764941
"224011284a0112646002680440828204000280",0,31,64,-111252986,-96.880933906788
"224011284e0112646002680440828204000280",0,32,16,-1915082,-66.8531492943193
"224011284e0112646002680440828204000280",0,32,32,-13700177,-89.7978506080645
"224011284e0112646002680440828204000280",0,32,64,-110608791,-96.9503330662941
"2240112c4e0112646002680440828204000280",0,33,16,-3231814,-72.4088647711271
"2240112c4e0112646002680440828204000280",0,33,32,-24942175,-92.5526511499017
"2240112c4e0112646002680440828204000280",0,33,64,-209371764,-97.8861542236968
"2a40112c4e0112646002680440828204000280",0,34,16,-3175954,-72.3405631666857
"2a40112c4e0112646002680440828204000280",0,34,32,-24447240,-92.1523856121258
"2a40112c4e0112646002680440828204000280",0,34,64,-206988652,-97.8404678070669
"2a40112c6e0112646002680440828204000280",0,35,16,-2984598,-70.1087948471904
"2a40112c6e0112646002680440828204000280",0,35,32,-24810678,-92.3098576792783
"2a40112c6e0112646002680440828204000280",0,35,64,-204863399,-97.8066163154121
"3a40112c6e0112646002680440828204000280",0,36,16,-3118952,-70.4972494574182
"3a40112c6e0112646002680440828204000280",0,36,32,-24862986,-91.7346052140764
"3a40112c6e0112646002680440828204000280",0,36,64,-208321050,-97.7620093115217
"3a60112c6e0112646002680440828204000280",0,37,16,-3095866,-70.5144566587228
"3a60112c6e0112646002680440828204000280",0,37,32,-24654391,-92.2069599405373
