id,conjuncts_total,conjuncts_elim
1c284112570d341093b5b88956f8134d66a0305a2551b5566f72a2080000000000,792,441
1c284112570d741093b5b88956f8134d66a0305a2551b5566f72a2080000000000,796,445
1c284112570d741093b7b88956f8134d66a0305a2551b5566f72a2080000000000,800,448
1c284112570d741093b7b88956f8134d66a1305a2551b5566f72a2080000000000,808,458
1c284112570d741093b7b88956f8134d66a1305b2551b5566f72a2080000000000,816,474
1d284112570d741093b7b88956f8134d66a1305b2551b5566f72a2080000000000,816,473
1d2c4112570d741093b7b88956f8134d66a1305b2551b5566f72a2080000000000,827,478
1d2c4112570d741093b7b98956f8134d66a1305b2551b5566f72a2080000000000,829,480
1d2c4112570d74109bb7b98956f8134d66a1305b2551b5566f72a2080000000000,829,480
1d2c4112570d74109bb7b98956f8134d66a9305b2551b5566f72a2080000000000,831,481
1d2c4112570d74109bb7b98956f8134d66a9305b2551b5576f72a2080000000000,863,491
1d2c4112570d74109bb7b98956f8334d66a9305b2551b5576f72a2080000000000,865,493
1d2c4112570d74109bb7b98956f8334d66a9305b2d51b5576f72a2080000000000,867,494
1d2c4112570d74109bb7b99956f8334d66a9305b2d51b5576f72a2080000000000,873,501
1d2c4912570d74109bb7b99956f8334d66a9305b2d51b5576f72a2080000000000,873,501
1d2c4952570d74109bb7b99956f8334d66a9305b2d51b5576f72a2080000000000,873,502
1d2c4953570d74109bb7b99956f8334d66a9305b2d51b5576f72a2080000000000,876,505
1d2c4953570d7c109bb7b99956f8334d66a9305b2d51b5576f72a2080000000000,889,510
1d2c4953570d7c109bb7b99b56f8334d66a9305b2d51b5576f72a2080000000000,889,511
1d2c4953570d7c109bb7b99b56f8334d67a9305b2d51b5576f72a2080000000000,895,517
1d2c4953570d7c109bb7b99b56f8334d67a9305bad51b5576f72a2080000000000,934,530
1d2c4953570d7c109bb7b99b56f8334d67a9305bad51b5576ff2a2080000000000,974,537
1d2c4953574d7c109bb7b99b56f8334d67a9305bad51b5576ff2a2080000000000,974,537
1d2c4953574d7c109bb7b99b56f9334d67a9305bad51b5576ff2a2080000000000,987,541
1d2c4953574d7c109bb7b99b56f9334d67a9305bad51b557eff2a2080000000000,1015,583
1d2c4953574d7c10dbb7b99b56f9334d67a9305bad51b557eff2a2080000000000,1032,590
1d2c4953574d7c10dbb7b99b56f9334d67a930dbad51b557eff2a2080000000000,1074,602
1d2c4953574d7c10dbb7b99b56f9334d67ab30dbad51b557eff2a2080000000000,1076,602
1d2c4953574d7c14dbb7b99b56f9334d67ab30dbad51b557eff2a2080000000000,1079,602
1d2c4953574d7c14dbb7b99b56f9334d67abb0dbad51b557eff2a2080000000000,1100,611
1d2c4953574d7c14dbb7b99b56f9334d67abb0dbad51b557eff2a2080000004000,1100,611
1d2c4953574d7c14dbb7b99b56f9334d67abb0dbad51b557eff2a2080000004002,1100,611
1d2c4953574d7c14dbb7b99b56f9334d77abb0dbad51b557eff2a2080000004002,1106,625
1d2c4b53574d7c14dbb7b99b56f9334d77abb0dbad51b557eff2a2080000004002,1107,626
1d2c4b53574d7c34dbb7b99b56f9334d77abb0dbad51b557eff2a2080000004002,1109,629
1d2c4b53574d7c34dbb7b99b56f9334d77abb0dbad51b5d7eff2a2080000004002,1152,642
1d2c4b53574d7c34dbb7b99b56f9b34d77abb0dbad51b5d7eff2a2080000004002,1167,648
1d2c4b53574d7c34dbb7b99b56f9b34d77abb0dbad51b5d7eff2a2088000004002,1167,648
1d2c4b53574d7c34dbb7b99b56f9b34d77abb0dbad51b5d7eff2a2888000004002,1167,648
1d2c4b53574d7c34dbb7b99b56f9b34d77abb0dbadd1b5d7eff2a2888000004002,1176,660
3d2c4b53574d7c34dbb7b99b56f9b34d77abb0dbadd1b5d7eff2a2888000004002,1176,660
3d2c4b53574d7d34dbb7b99b56f9b34d77abb0dbadd1b5d7eff2a2888000004002,1176,660
3d2c4b53574d7d34dbb7b99b56f9b34d77abb0dbadd1b5d7eff2a2888200004002,1176,660
3d2c4b53574d7d34dbb7bd9b56f9b34d77abb0dbadd1b5d7eff2a2888200004002,1191,666
3d2c4b53574d7d34dbb7bd9b56f9b34d77abb2dbadd1b5d7eff2a2888200004002,1197,682
3d2c4b53574d7d34dbb7bd9b56f9b34d77ebb2dbadd1b5d7eff2a2888200004002,1212,697
3d2c4b53574d7d34dbb7bd9b56f9b74d77ebb2dbadd1b5d7eff2a2888200004002,1214,700
3d2c4b53574d7d34dbb7bd9b56f9b74d77ebb2dbadd1b7d7eff2a2888200004002,1220,717
3d2c4b53574d7d34dbb7bd9b56f9b74d77ebb2dbadd1b7d7eff2a288c200004002,1220,717
3d2c4b53574d7d34dbb7bd9b56f9b74d77ebb2dbadd1b7dfeff2a288c200004002,1318,785
3d2c4b53574d7d34dbb7bd9b56f9b74d77ebb2dbadd1b7dfeff2a288c200004012,1318,785
3d2c4b53574d7d34dbb7bd9b56f9b74d77ebb6dbadd1b7dfeff2a288c200004012,1323,791
3d2c4b53574d7d34dbb7bd9b56f9b74d77ebb6dbadd1b7dfeff2a288d200004012,1323,791
3d2c5b53574d7d34dbb7bd9b56f9b74d77ebb6dbadd1b7dfeff2a288d200004012,1324,792
3d2c5b53574d7d34dbb7bd9b56f9b74d77ebb6dbadd1b7dfeff2a289d200004012,1324,818
3d2c5b73574d7d34dbb7bd9b56f9b74d77ebb6dbadd1b7dfeff2a289d200004012,1324,818
3d2c5b73574d7d34dbb7fd9b56f9b74d77ebb6dbadd1b7dfeff2a289d200004012,1343,825
3d3c5b73574d7d34dbb7fd9b56f9b74d77ebb6dbadd1b7dfeff2a289d200004012,1386,840
3d3c5b73574d7d34dbb7fd9b56f9b74d7febb6dbadd1b7dfeff2a289d200004012,1405,846
3d3c5b73574d7d34dbb7fdbb56f9b74d7febb6dbadd1b7dfeff2a289d200004012,1407,849
3d3c5b73574d7d34dbb7fdbb56f9b74d7febb6dbadd1b7dfeff2a28dd200004012,1407,849
3d3c5b73574d7d74dbb7fdbb56f9b74d7febb6dbadd1b7dfeff2a28dd200004012,1408,850
3d3c5b73574d7d74dbb7fdbb56f9b74d7febb6dbadd1b7dfeff2a28dd200004212,1408,861
3d3c5b73574d7d74dbb7fdbb56f9b74d7febb6dbadd1b7dfeff2a28dd200004312,1408,861
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd200004312,1409,861
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210004312,1409,861
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd1b7dfeff2a28dd210104312,1409,861
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd3b7dfeff2a28dd210104312,1411,864
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd3b7dfeff2a28dd290104312,1411,864
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd3b7dfeff2a28dd29010c312,1411,875
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd3b7dfeff2a28dd29010c332,1333,874
3d3c5b73574d7d74dbb7fdbb56fbb74d7febb6dbadd3b7dfeffaa28dd29010c332,1371,922
3d3c5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd29010c332,1372,923
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd29010c332,1376,925
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd39010c332,1376,925
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd39012c332,1376,925
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa28dd3901ac332,1376,925
3dbc5b73574d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ac332,1376,925
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ac332,1379,930
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ac333,1379,930
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ac337,1379,978
3dbc5b73774d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,1379,997
3dbc5b73775d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdd3901ec337,1380,998
3dbc5b73775d7d74dbb7fdbb56fbb75d7febb6dbadd3b7dfeffaa2cdf3901ec337,1380,998
