permutation_id,measurement_id,program_id,program_name,level_id,iter,mean,spec_type,expr_type
5081,772444,6,bst,130,1,2.59660857E8,fold,pred
5081,772445,6,bst,130,1,6212921.0,fold,pred
5081,772446,6,bst,130,1,2.66352031E8,fold,pred
5082,735442,5,list,24,1,1526717.0,inv,acc
5082,735443,5,list,24,1,6.64280307E8,inv,acc
5082,735444,5,list,24,1,1.446495E7,inv,acc
5082,735445,5,list,24,1,2.01558807E8,inv,acc
5085,798422,4,avlja,38,1,3335937.0,unfold,pred
5085,798423,4,avlja,38,1,1.02930848E9,unfold,pred
5085,798424,4,avlja,38,1,1.0493488E7,unfold,pred
5085,798425,4,avlja,38,1,5.42487281E8,unfold,pred
5086,723981,2,composite,30,1,3529876.0,pred,acc
5086,723982,2,composite,30,1,2.66194896E8,pred,acc
5086,723983,2,composite,30,1,2608529.0,pred,acc
5086,723984,2,composite,30,1,1.56216791E8,pred,acc
5088,706990,6,bst,131,1,6000078.0,post,rem_imp
5088,706991,6,bst,131,1,2.64947144E8,post,rem_imp
5088,706992,6,bst,131,1,6246407.0,post,rem_imp
5088,706993,6,bst,131,1,2.65519593E8,post,rem_imp
5089,814054,5,list,25,1,1439700.0,unfold,pred
5089,814055,5,list,25,1,7.25827487E8,unfold,pred
5089,814056,5,list,25,1,1.2202112E7,unfold,pred
5089,814057,5,list,25,1,1.88810494E8,unfold,pred
5091,724087,4,avlja,39,1,3229431.0,pred,acc
5091,724088,4,avlja,39,1,1.310477139E9,pred,acc
5091,724089,4,avlja,39,1,1.0374623E7,pred,acc
5091,724090,4,avlja,39,1,5.41271071E8,pred,acc
5093,805257,2,composite,31,1,3155927.0,pred,pred
5093,805258,2,composite,31,1,2.57204704E8,pred,pred
5093,805259,2,composite,31,1,2773485.0,pred,pred
5093,805260,2,composite,31,1,1.59144594E8,pred,pred
5094,782992,6,bst,132,1,6024147.0,post,pred
5094,782993,6,bst,132,1,2.60305577E8,post,pred
5094,782994,6,bst,132,1,6255560.0,post,pred
5094,782995,6,bst,132,1,2.66298105E8,post,pred
5095,740142,5,list,26,1,1556316.0,pre,pred
5095,740143,5,list,26,1,7.3342803E8,pre,pred
5095,740144,5,list,26,1,1.6389194E7,pre,pred
5095,740145,5,list,26,1,1.96826331E8,pre,pred
5097,779337,4,avlja,40,1,3297199.0,pred,acc
5097,779338,4,avlja,40,1,1.319792037E9,pred,acc
5097,779339,4,avlja,40,1,1.1437198E7,pred,acc
5097,779340,4,avlja,40,1,5.48837299E8,pred,acc
5098,839731,2,composite,32,1,3626003.0,pred,bool
5098,839732,2,composite,32,1,2.64428923E8,pred,bool
5098,839733,2,composite,32,1,2731817.0,pred,bool
5098,839734,2,composite,32,1,1.56749254E8,pred,bool
5100,760769,5,list,27,1,1587270.0,pre,pred
5100,760770,5,list,27,1,6.81404746E8,pre,pred
5100,760771,5,list,27,1,1.4999656E7,pre,pred
5100,760772,5,list,27,1,1.96956656E8,pre,pred
5101,731356,6,bst,133,1,5830122.0,pred,bool
5101,731357,6,bst,133,1,2.72862266E8,pred,bool
5101,731358,6,bst,133,1,6493296.0,pred,bool
5101,731359,6,bst,133,1,2.76018784E8,pred,bool
5103,804003,4,avlja,41,1,3242323.0,pred,acc
5103,804004,4,avlja,41,1,1.310390618E9,pred,acc
5103,804005,4,avlja,41,1,1.0478248E7,pred,acc
5103,804006,4,avlja,41,1,5.3858795E8,pred,acc
5104,713901,2,composite,33,1,3198832.0,pred,pred
5104,713902,2,composite,33,1,2.61043406E8,pred,pred
5104,713903,2,composite,33,1,2548568.0,pred,pred
5104,713904,2,composite,33,1,1.53595586E8,pred,pred
5105,711589,5,list,28,1,1603826.0,fold,pred
5105,711590,5,list,28,1,6.85890778E8,fold,pred
5105,711591,5,list,28,1,1.5272759E7,fold,pred
5105,711592,5,list,28,1,1.95998738E8,fold,pred
5107,816283,6,bst,134,1,5964129.0,pre,rem_imp
5107,816284,6,bst,134,1,2.66841276E8,pre,rem_imp
5107,816285,6,bst,134,1,6455897.0,pre,rem_imp
5107,816286,6,bst,134,1,2.75651063E8,pre,rem_imp
5109,765273,4,avlja,42,1,3697165.0,pred,pred
5109,765274,4,avlja,42,1,1.417716576E9,pred,pred
5109,765275,4,avlja,42,1,1.1190617E7,pred,pred
5109,765276,4,avlja,42,1,5.70802979E8,pred,pred
5110,813069,2,composite,34,1,3571658.0,inv,pred
5110,813070,2,composite,34,1,2.75314088E8,inv,pred
5110,813071,2,composite,34,1,2808291.0,inv,pred
5110,813072,2,composite,34,1,1.60049341E8,inv,pred
5113,697638,6,bst,135,1,6113400.0,pred,bool
5113,697639,6,bst,135,1,2.73988043E8,pred,bool
5113,697640,6,bst,135,1,6603923.0,pred,bool
5113,697641,6,bst,135,1,2.75224605E8,pred,bool
5114,807989,4,avlja,43,1,3666089.0,pred,acc
5114,807990,4,avlja,43,1,1.447727516E9,pred,acc
5114,807991,4,avlja,43,1,1.152959E7,pred,acc
5114,807992,4,avlja,43,1,5.60132067E8,pred,acc
5115,811415,5,list,29,1,1797334.0,pre,pred
5115,811416,5,list,29,1,7.31757426E8,pre,pred
5115,811417,5,list,29,1,1.8372959E7,pre,pred
5115,811418,5,list,29,1,2.03118649E8,pre,pred
5116,753994,2,composite,35,1,3348217.0,post,pred
5116,753995,2,composite,35,1,2.71673274E8,post,pred
5116,753996,2,composite,35,1,2640236.0,post,pred
5116,753997,2,composite,35,1,1.56645831E8,post,pred
5118,712107,4,avlja,44,1,3282426.0,unfold,pred
5118,712108,4,avlja,44,1,2.338218677E9,unfold,pred
5118,712109,4,avlja,44,1,1.6363136E7,unfold,pred
5118,712110,4,avlja,44,1,8.11505391E8,unfold,pred
5119,841796,5,list,30,1,1573987.0,pre,bool
5119,841797,5,list,30,1,6.92025302E8,pre,bool
5119,841798,5,list,30,1,1.6870984E7,pre,bool
5119,841799,5,list,30,1,2.05412277E8,pre,bool
5120,701143,2,composite,36,1,3331249.0,unfold,pred
5120,701144,2,composite,36,1,2.72307359E8,unfold,pred
5120,701145,2,composite,36,1,2788249.0,unfold,pred
5120,701146,2,composite,36,1,1.61447673E8,unfold,pred
5122,805422,6,bst,136,1,5932562.0,pred,pred
5122,805423,6,bst,136,1,2.87356853E8,pred,pred
5122,805424,6,bst,136,1,6567775.0,pred,pred
5122,805425,6,bst,136,1,2.76430583E8,pred,pred
5124,757318,4,avlja,45,1,3300748.0,post,bool
5124,757319,4,avlja,45,1,2.32331393E9,post,bool
5124,757320,4,avlja,45,1,1.6026224E7,post,bool
5124,757321,4,avlja,45,1,8.44622387E8,post,bool
5125,786645,2,composite,37,1,3224166.0,pred,bool
5125,786646,2,composite,37,1,2.78260642E8,pred,bool
5125,786647,2,composite,37,1,2746447.0,pred,bool
5125,786648,2,composite,37,1,1.64447586E8,pred,bool
5127,717593,6,bst,137,1,6019638.0,post,rem_imp
5127,717594,6,bst,137,1,2.91352413E8,post,rem_imp
5127,717595,6,bst,137,1,6825482.0,post,rem_imp
5127,717596,6,bst,137,1,2.76947201E8,post,rem_imp
5128,844756,5,list,31,1,1550263.0,inv,pred
5128,844757,5,list,31,1,7.99669771E8,inv,pred
5128,844758,5,list,31,1,2.2640823E7,inv,pred
5128,844759,5,list,31,1,2.34276333E8,inv,pred
5130,799104,4,avlja,46,1,3322898.0,pred,bool
5130,799105,4,avlja,46,1,2.348488266E9,pred,bool
5130,799106,4,avlja,46,1,1.5776033E7,pred,bool
5130,799107,4,avlja,46,1,7.59945849E8,pred,bool
5131,723262,6,bst,138,1,5885838.0,pred,acc
5131,723263,6,bst,138,1,2.84313896E8,pred,acc
5131,723264,6,bst,138,1,6494500.0,pred,acc
5131,723265,6,bst,138,1,2.80634734E8,pred,acc
5132,781816,5,list,32,1,1648694.0,pred,pred
5132,781817,5,list,32,1,7.91013548E8,pred,pred
5132,781818,5,list,32,1,2.1325198E7,pred,pred
5132,781819,5,list,32,1,2.33639251E8,pred,pred
5133,813125,2,composite,38,1,3272051.0,pred,pred
5133,813126,2,composite,38,1,2.89830764E8,pred,pred
5133,813127,2,composite,38,1,3031881.0,pred,pred
5133,813128,2,composite,38,1,1.84401576E8,pred,pred
5137,741231,4,avlja,47,1,3721572.0,post,pred
5137,741232,4,avlja,47,1,2.468601964E9,post,pred
5137,741233,4,avlja,47,1,1.6700026E7,post,pred
5137,741234,4,avlja,47,1,7.64352793E8,post,pred
5138,708467,5,list,33,1,1631039.0,post,bool
5138,708468,5,list,33,1,7.82229989E8,post,bool
5138,708469,5,list,33,1,2.3791335E7,post,bool
5138,708470,5,list,33,1,2.33720577E8,post,bool
5139,809900,2,composite,39,1,3240817.0,pred,acc
5139,809901,2,composite,39,1,3.02918131E8,pred,acc
5139,809902,2,composite,39,1,3130321.0,pred,acc
5139,809903,2,composite,39,1,1.85310204E8,pred,acc
5140,806902,6,bst,139,1,5982470.0,post,pred
5140,806903,6,bst,139,1,2.92762273E8,post,pred
5140,806904,6,bst,139,1,6782662.0,post,pred
5140,806905,6,bst,139,1,2.81340485E8,post,pred
5142,800767,6,bst,140,1,8075900.0,pre,pred
5142,800768,6,bst,140,1,2.76560035E8,pre,pred
5142,800769,6,bst,140,1,6677566.0,pre,pred
5142,800770,6,bst,140,1,2.81468781E8,pre,pred
5143,774427,2,composite,40,1,3282093.0,pred,acc
5143,774428,2,composite,40,1,2.95144012E8,pred,acc
5143,774429,2,composite,40,1,3121835.0,pred,acc
5143,774430,2,composite,40,1,1.88642489E8,pred,acc
5144,760844,4,avlja,48,1,3259405.0,pred,acc
5144,760845,4,avlja,48,1,2.44634869E9,pred,acc
5144,760846,4,avlja,48,1,1.6435228E7,pred,acc
5144,760847,4,avlja,48,1,7.67585643E8,pred,acc
5146,774313,5,list,34,1,1651432.0,pred,acc
5146,774314,5,list,34,1,7.94343916E8,pred,acc
5146,774315,5,list,34,1,2.3601446E7,pred,acc
5146,774316,5,list,34,1,2.34146069E8,pred,acc
5148,802998,4,avlja,49,1,3304279.0,assert,pred
5148,802999,4,avlja,49,1,2.464073792E9,assert,pred
5148,803000,4,avlja,49,1,1.7664429E7,assert,pred
5148,803001,4,avlja,49,1,7.98230547E8,assert,pred
5149,715793,2,composite,41,1,3388123.0,fold,pred
5149,715794,2,composite,41,1,3.0844763E8,fold,pred
5149,715795,2,composite,41,1,3223437.0,fold,pred
5149,715796,2,composite,41,1,1.88302914E8,fold,pred
5150,765941,6,bst,141,1,6047913.0,unfold,pred
5150,765942,6,bst,141,1,2.82107164E8,unfold,pred
5150,765943,6,bst,141,1,6702520.0,unfold,pred
5150,765944,6,bst,141,1,2.81575649E8,unfold,pred
5152,812798,5,list,35,1,1565809.0,post,pred
5152,812799,5,list,35,1,8.0186531E8,post,pred
5152,812800,5,list,35,1,2.7934816E7,post,pred
5152,812801,5,list,35,1,2.3824654E8,post,pred
5154,806594,4,avlja,50,1,3300544.0,assert,acc
5154,806595,4,avlja,50,1,2.547339022E9,assert,acc
5154,806596,4,avlja,50,1,1.6217252E7,assert,acc
5154,806597,4,avlja,50,1,7.6170407E8,assert,acc
5155,715514,2,composite,42,1,3297685.0,unfold,pred
5155,715515,2,composite,42,1,3.1170838E8,unfold,pred
5155,715516,2,composite,42,1,3140049.0,unfold,pred
5155,715517,2,composite,42,1,1.89315961E8,unfold,pred
5156,720809,6,bst,142,1,6011986.0,pred,pred
5156,720810,6,bst,142,1,2.92891343E8,pred,pred
5156,720811,6,bst,142,1,6780500.0,pred,pred
5156,720812,6,bst,142,1,2.77412288E8,pred,pred
5158,747855,5,list,36,1,1667436.0,pred,bool
5158,747856,5,list,36,1,8.21773004E8,pred,bool
5158,747857,5,list,36,1,2.3760276E7,pred,bool
5158,747858,5,list,36,1,2.21625483E8,pred,bool
5160,752831,4,avlja,51,1,3311713.0,pre,pred
5160,752832,4,avlja,51,1,2.539942607E9,pre,pred
5160,752833,4,avlja,51,1,1.6264581E7,pre,pred
5160,752834,4,avlja,51,1,7.60441732E8,pre,pred
5161,812952,5,list,37,1,1642441.0,pred,bool
5161,812953,5,list,37,1,8.50599935E8,pred,bool
5161,812954,5,list,37,1,2.609515E7,pred,bool
5161,812955,5,list,37,1,2.19437647E8,pred,bool
5163,701133,6,bst,143,1,6052395.0,post,rem_imp
5163,701134,6,bst,143,1,3.0481225E8,post,rem_imp
5163,701135,6,bst,143,1,6709755.0,post,rem_imp
5163,701136,6,bst,143,1,2.80766807E8,post,rem_imp
5164,700721,2,composite,43,1,3390009.0,unfold,pred
5164,700722,2,composite,43,1,3.1142702E8,unfold,pred
5164,700723,2,composite,43,1,3183381.0,unfold,pred
5164,700724,2,composite,43,1,1.92777472E8,unfold,pred
5166,728379,4,avlja,52,1,3508982.0,assert,bool
5166,728380,4,avlja,52,1,2.530154727E9,assert,bool
5166,728381,4,avlja,52,1,1.6587534E7,assert,bool
5166,728382,4,avlja,52,1,7.63966126E8,assert,bool
5167,748927,5,list,38,1,1725411.0,fold,pred
5167,748928,5,list,38,1,8.40433005E8,fold,pred
5167,748929,5,list,38,1,2.7315807E7,fold,pred
5167,748930,5,list,38,1,2.4302055E8,fold,pred
5168,702750,6,bst,144,1,6018106.0,pre,rem_imp
5168,702751,6,bst,144,1,2.96584909E8,pre,rem_imp
5168,702752,6,bst,144,1,6816628.0,pre,rem_imp
5168,702753,6,bst,144,1,2.81802309E8,pre,rem_imp
5170,800532,2,composite,44,1,3763392.0,fold,pred
5170,800533,2,composite,44,1,3.29585264E8,fold,pred
5170,800534,2,composite,44,1,4112403.0,fold,pred
5170,800535,2,composite,44,1,2.44574223E8,fold,pred
5172,722078,4,avlja,53,1,3339608.0,pre,bool
5172,722079,4,avlja,53,1,2.533524784E9,pre,bool
5172,722080,4,avlja,53,1,1.6835194E7,pre,bool
5172,722081,4,avlja,53,1,7.6444285E8,pre,bool
5173,836997,5,list,39,1,1687997.0,fold,pred
5173,836998,5,list,39,1,8.95451399E8,fold,pred
5173,836999,5,list,39,1,2.9852318E7,fold,pred
5173,837000,5,list,39,1,2.55694045E8,fold,pred
5174,711938,2,composite,45,1,3347434.0,pred,bool
5174,711939,2,composite,45,1,3.18329668E8,pred,bool
5174,711940,2,composite,45,1,3771634.0,pred,bool
5174,711941,2,composite,45,1,2.42830323E8,pred,bool
5175,753455,6,bst,145,1,6717173.0,pre,pred
5175,753456,6,bst,145,1,3.11111353E8,pre,pred
5175,753457,6,bst,145,1,7236367.0,pre,pred
5175,753458,6,bst,145,1,2.82966047E8,pre,pred
5178,722754,4,avlja,54,1,3342731.0,assert,bool
5178,722755,4,avlja,54,1,2.562000767E9,assert,bool
5178,722756,4,avlja,54,1,1.6851656E7,assert,bool
5178,722757,4,avlja,54,1,7.62807088E8,assert,bool
5179,828351,5,list,40,1,1591471.0,pre,bool
5179,828352,5,list,40,1,9.30908324E8,pre,bool
5179,828353,5,list,40,1,3.1791309E7,pre,bool
5179,828354,5,list,40,1,2.5697724E8,pre,bool
5180,722974,2,composite,46,1,3366667.0,pred,pred
5180,722975,2,composite,46,1,3.29756811E8,pred,pred
5180,722976,2,composite,46,1,3984535.0,pred,pred
5180,722977,2,composite,46,1,2.47688789E8,pred,pred
5181,728515,6,bst,146,1,6157104.0,pre,bool
5181,728516,6,bst,146,1,2.89003892E8,pre,bool
