"Workload (ω)","iter","Median Time Elapsed (sec)","Mean Time Elapsed (sec)","stdev","min","max","Dynamic Verification","Example"
88,3,0.160080042,0.179990305,35346492,159089958,220800917,"Enabled","List"
90,3,0.167911625,0.188643347,37152853,166482584,231535833,"Enabled","List"
92,3,0.18025775,0.20080518,36993861,178645917,243511875,"Enabled","List"
94,3,0.19352225,0.21226775,35383286,190201167,253079833,"Enabled","List"
96,3,0.205404417,0.227187486,37946890,205153500,271004542,"Enabled","List"
98,3,0.21715025,0.234862416,32846764,214673375,272763625,"Enabled","List"
100,3,0.228725125,0.252351764,41200411,228404625,299925542,"Enabled","List"
102,3,0.244311125,0.265641777,37439044,243742791,308871417,"Enabled","List"
104,3,0.256032834,0.276286833,36949710,253892875,318934792,"Enabled","List"
106,3,0.26931175,0.291470958,38429021,269256167,335844958,"Enabled","List"
108,3,0.286821333,0.307760958,37477110,285433166,351028375,"Enabled","List"
110,3,0.304707584,0.325777097,39390212,301402750,371220958,"Enabled","List"
112,3,0.319403958,0.339594805,38001347,315950792,383429667,"Enabled","List"
114,3,0.337858625,0.356426361,33483675,336340416,395080042,"Enabled","List"
116,3,0.355353042,0.373872055,35210777,351785375,414477750,"Enabled","List"
118,3,0.371613958,0.391444666,36318151,369359000,433361042,"Enabled","List"
120,3,0.38997775,0.41064593,36491753,389179583,452780458,"Enabled","List"
122,3,0.414861666,0.429300013,35561173,403228834,469809541,"Enabled","List"
124,3,0.4314705,0.450706874,34321456,430317833,490332291,"Enabled","List"
126,3,0.453449708,0.470612194,32800979,449953208,508433667,"Enabled","List"
128,3,0.467563542,0.48735443,34518160,467287500,527212250,"Enabled","List"
