"stress","iter","median","mean","stdev","min","max","only_framing","unverified","dynamic"
288,3,0.002344244,2323982,87346,2228286,2399417,NA,0.013573418600715,NA
296,3,0.002610665,2574348,64674,2499678,2612703,NA,0.0135734186724848,NA
304,3,0.002738961,2695211,90823,2590793,2755879,NA,0.0135734187445452,NA
312,3,0.002674511,2691729,55704,2646667,2754011,NA,0.0135734188168886,NA
320,3,0.002871752,5097915,4034503,2666936,9755058,NA,0.0135734188895076,NA
328,3,0.003089817,3139008,194702,2973619,3353589,NA,0.0135734189623953,NA
336,3,0.003446718,3873630,1039633,3115413,5058759,NA,0.0135734190355452,NA
344,3,0.003069376,3265751,440785,2957283,3770595,NA,0.0135734191089511,NA
352,3,0.003146369,3099522,123578,2959370,3192829,NA,0.013573419182607,NA
360,3,0.003201653,3202075,133525,3068761,3335811,NA,0.0135734192565073,NA
368,3,0.003137044,3127030,19995,3104006,3140040,NA,0.0135734193306464,NA
376,3,0.003512394,5015983,2740775,3356084,8179471,NA,0.0135734194050192,NA
384,3,0.003448547,3410335,165060,3229520,3552938,NA,0.0135734194796207,NA
392,3,0.003635753,3598512,119942,3464366,3695417,NA,0.0135734195544463,NA
400,3,0.00358843,4001208,722008,3580297,4834899,NA,0.0135734196294911,NA
408,3,0.00360478,3642773,99680,3567677,3755863,NA,0.013573419704751,NA
416,3,0.0039275,3881538,132985,3731668,3985446,NA,0.0135734197802217,NA
424,3,0.00385199,3878891,142189,3752074,4032609,NA,0.0135734198558991,NA
432,3,0.004027195,3988690,75968,3901179,4037697,NA,0.0135734199317793,NA
440,3,0.004154055,4151168,27215,4122624,4176825,NA,0.0135734200078586,NA
448,3,0.004672842,4804806,590203,4291755,5449821,NA,0.0135734200841334,NA
456,3,0.004609796,4553145,222802,4307486,4742153,NA,0.0135734201606001,NA
464,3,0.00451539,4616046,244132,4438335,4894414,NA,0.0135734202372554,NA
472,3,0.004593745,4595118,106726,4489085,4702524,NA,0.0135734203140961,NA
480,3,0.004705592,4693112,43014,4645238,4728507,NA,0.0135734203911189,NA
488,3,0.00483181,5499994,1273969,4699121,6969051,NA,0.0135734204683209,NA
496,3,0.005119588,5106195,27658,5074390,5124609,NA,0.0135734205456992,NA
