"Workload (ω)","iter","Median Time Elapsed (sec)","Mean Time Elapsed (sec)","stdev","min","max","Dynamic Verification","Example"
22,3,28151000,0.047540444,33691958,28025833,86444500,"Enabled","Binary Search Tree"
24,3,37244041,0.056406458,34041783,36264875,95710458,"Enabled","Binary Search Tree"
26,3,48523833,0.069881486,37895901,47484833,113635792,"Enabled","Binary Search Tree"
28,3,96791584,0.118196722,37580738,96208666,161589916,"Enabled","Binary Search Tree"
30,3,85879708,0.103421805,31657715,84418458,139967250,"Enabled","Binary Search Tree"
32,3,106794417,0.125464138,32379640,106745083,162852916,"Enabled","Binary Search Tree"
34,3,114554458,0.131836569,31296265,112992125,167963125,"Enabled","Binary Search Tree"
36,3,167307708,0.183337347,32389490,162088416,220615917,"Enabled","Binary Search Tree"
38,3,197179042,0.216834111,35267415,195773959,257549334,"Enabled","Binary Search Tree"
40,3,184715167,0.205620458,38470120,182129375,250016834,"Enabled","Binary Search Tree"
42,3,280138250,0.297181736,31203563,278211625,333195334,"Enabled","Binary Search Tree"
44,3,265149333,0.284602513,35179154,263446208,325212000,"Enabled","Binary Search Tree"
46,3,390295666,0.407989569,43632893,375982834,457690208,"Enabled","Binary Search Tree"
48,3,243555958,0.266133805,39153728,243500833,311344625,"Enabled","Binary Search Tree"
50,3,421887000,0.440493222,34013573,419841709,479750959,"Enabled","Binary Search Tree"
52,3,382426417,0.404360611,45708616,373753125,456902292,"Enabled","Binary Search Tree"
54,3,561815875,0.579174208,42801043,547779125,627927625,"Enabled","Binary Search Tree"
56,3,563909041,0.581817083,44012967,549581083,631961125,"Enabled","Binary Search Tree"
58,3,551401625,0.576503972,44805791,549876541,628233750,"Enabled","Binary Search Tree"
60,3,771669167,0.787602431,30246993,768652917,822485209,"Enabled","Binary Search Tree"
62,3,893836792,0.903482736,35898923,873392250,943219166,"Enabled","Binary Search Tree"
64,3,891686500,0.904261902,38113515,874025167,947074041,"Enabled","Binary Search Tree"
66,3,873299959,0.897511194,42411499,872750875,946482750,"Enabled","Binary Search Tree"
68,3,1091926583,1.100400097,35756510,1069641458,1139632250,"Enabled","Binary Search Tree"
70,3,1354354792,1.376111819,40888128,1350702417,1423278250,"Enabled","Binary Search Tree"
72,3,1056864167,1.067296917,36663362,1036980625,1108045959,"Enabled","Binary Search Tree"
74,3,1392371750,1.4134235,36969721,1391787625,1456111125,"Enabled","Binary Search Tree"
76,3,1735431000,1.74324825,44332627,1703344208,1790969542,"Enabled","Binary Search Tree"
78,3,1475408667,1.508667903,58052356,1474894709,1575700333,"Enabled","Binary Search Tree"
80,3,1799853125,1.817450389,32499741,1797543875,1854954167,"Enabled","Binary Search Tree"
82,3,1857903125,1.888940305,57123879,1854053958,1954863833,"Enabled","Binary Search Tree"
84,3,2065055541,2.082962888,33883061,2061790875,2122042250,"Enabled","Binary Search Tree"
86,3,2108624000,2.118688972,32313222,2092606083,2154836834,"Enabled","Binary Search Tree"
88,3,1968115458,1.991004777,40113410,1967576166,2037322708,"Enabled","Binary Search Tree"
90,3,2230825250,2.25598368,48278165,2225480750,2311645042,"Enabled","Binary Search Tree"
92,3,2821715750,2.837958583,35005073,2814025625,2878134375,"Enabled","Binary Search Tree"
94,3,2482973875,2.501750791,42633519,2471728750,2550549750,"Enabled","Binary Search Tree"
96,3,3125343417,3.123913319,38155126,3085063250,3161333292,"Enabled","Binary Search Tree"
98,3,2861110917,2.866743653,37471479,2832407417,2906712625,"Enabled","Binary Search Tree"
100,3,3696855250,3.707272764,23569886,3690706625,3734256417,"Enabled","Binary Search Tree"
102,3,4147849292,4.156341,66472281,4094522625,4226651084,"Enabled","Binary Search Tree"
104,3,3711871041,3.712380555,6717029,3705932792,3719337834,"Enabled","Binary Search Tree"
106,3,3721826292,3.712485152,56469414,3651927625,3763701541,"Enabled","Binary Search Tree"
108,3,4234049125,4.237802791,17738660,4222241375,4257117875,"Enabled","Binary Search Tree"
110,3,4359008166,4.351690583,22345936,4326603291,4369460292,"Enabled","Binary Search Tree"
112,3,5047519458,5.03563418,32018890,4999372167,5060010917,"Enabled","Binary Search Tree"
114,3,5082759000,5.126635819,101445669,5054513917,5242634542,"Enabled","Binary Search Tree"
116,3,5957270375,5.970667125,79424939,5898792500,6055938500,"Enabled","Binary Search Tree"
118,3,5245863041,5.240649138,52986183,5185248750,5290835625,"Enabled","Binary Search Tree"
120,3,5362445458,5.37233368,39397275,5338822459,5415733125,"Enabled","Binary Search Tree"
122,3,5991230125,5.99255568,4013509,5989372625,5997064292,"Enabled","Binary Search Tree"
124,3,5614608375,5.615259249,14630341,5600965208,5630204166,"Enabled","Binary Search Tree"
126,3,6014083041,6.045590805,75142536,5991331500,6131357875,"Enabled","Binary Search Tree"
128,3,7958477833,7.95165368,22945454,7926070292,7970412916,"Enabled","Binary Search Tree"
0,3,2838916,0.019081388,28284658,2663708,51741542,"Disabled","List"
2,3,2786083,0.019171486,28472631,2679583,52048792,"Disabled","List"
4,3,2794333,0.017405778,25409590,2676834,46746167,"Disabled","List"
6,3,3728000,0.019340875,27733922,2932667,51361958,"Disabled","List"
8,3,2562625,0.019365361,29159285,2497875,53035583,"Disabled","List"
10,3,2812041,0.01794943,26372089,2635125,48401125,"Disabled","List"
12,3,2756417,0.020083388,30110915,2641333,54852416,"Disabled","List"
14,3,2871167,0.019265333,28561678,2679500,52245333,"Disabled","List"
16,3,2681583,0.016748749,24478475,2550708,45013958,"Disabled","List"
18,3,2842584,0.019698639,29356700,2656666,53596667,"Disabled","List"
20,3,2710042,0.017955375,26494147,2607958,48548125,"Disabled","List"
22,3,2818542,0.017810903,26048618,2724959,47889208,"Disabled","List"
24,3,2720584,0.019378986,28904707,2661125,52755250,"Disabled","List"
26,3,2540958,0.018015972,26883224,2448958,49058000,"Disabled","List"
28,3,2850084,0.018903736,27977896,2651500,51209625,"Disabled","List"
30,3,2808792,0.018261,26915814,2633667,49340541,"Disabled","List"
32,3,2664458,0.017964069,26632749,2510958,48716792,"Disabled","List"
34,3,2717292,0.018075055,26669414,2637666,48870208,"Disabled","List"
36,3,2819541,0.018798277,27830638,2641125,50934166,"Disabled","List"
38,3,2651917,0.017626014,25975239,2606500,47619625,"Disabled","List"
40,3,2814875,0.017752222,26010064,2655875,47785917,"Disabled","List"
42,3,2845834,0.018184403,26710130,2680917,49026458,"Disabled","List"
44,3,2588625,0.016249847,23767230,2467125,43693792,"Disabled","List"
46,3,2769458,0.02012768,30127228,2698000,54915583,"Disabled","List"
48,3,2810292,0.01904393,28179358,2738875,51582625,"Disabled","List"
50,3,2746333,0.019027514,28231772,2709459,51626750,"Disabled","List"
52,3,2543875,0.016706708,24557273,2513250,45063000,"Disabled","List"
54,3,2736334,0.019525667,29174715,2627000,53213667,"Disabled","List"
56,3,2848667,0.0197555,29408795,2704084,53713750,"Disabled","List"
58,3,2387000,0.016007041,23614351,2359583,43274542,"Disabled","List"
60,3,2714500,0.020067416,30142416,2614916,54872833,"Disabled","List"
62,3,2753792,0.01797518,26438117,2668500,48503250,"Disabled","List"
64,3,2793292,0.018360208,27108638,2624916,49662417,"Disabled","List"
66,3,2637750,0.018484388,27476886,2603458,50211958,"Disabled","List"
68,3,2812959,0.018410069,27160285,2645333,49771916,"Disabled","List"
70,3,2576708,0.016396527,23964708,2544292,44068583,"Disabled","List"
72,3,2721125,0.020240555,30418654,2635584,55364958,"Disabled","List"
74,3,2586166,0.017765972,26457452,2395542,48316208,"Disabled","List"
76,3,2753459,0.018619917,27605265,2610667,50495625,"Disabled","List"
78,3,2577625,0.017573569,26048035,2491875,47651209,"Disabled","List"
80,3,2770208,0.019192472,28504983,2700041,52107167,"Disabled","List"
82,3,2820542,0.018869013,27931399,2665208,51121291,"Disabled","List"
84,3,3883000,0.018959319,26914864,2961583,50033375,"Disabled","List"
86,3,2692709,0.019056542,28391284,2636959,51839958,"Disabled","List"
88,3,2910041,0.020125499,30037563,2656875,54809583,"Disabled","List"
90,3,2541833,0.016364652,24023133,2448000,44104125,"Disabled","List"
92,3,2772250,0.020053944,29994714,2700750,54688833,"Disabled","List"
94,3,2722917,0.020328319,30570235,2634292,55627750,"Disabled","List"
96,3,2630500,0.016546152,24189849,2529833,44478125,"Disabled","List"
98,3,2698250,0.018116402,26727940,2671792,48979166,"Disabled","List"
100,3,2849833,0.019541152,29041659,2698166,53075458,"Disabled","List"
102,3,2745625,0.019019208,28295682,2619833,51692167,"Disabled","List"
104,3,2654084,0.017528444,25922624,2470125,47461125,"Disabled","List"
106,3,2806375,0.017435111,25504280,2614250,46884708,"Disabled","List"
108,3,2622875,0.01753393,25881826,2559250,47419667,"Disabled","List"
110,3,2748959,0.018794194,27877558,2649250,50984375,"Disabled","List"
112,3,2729584,0.017504708,25658882,2651542,47133000,"Disabled","List"
114,3,2779666,0.019100124,28399853,2627375,51893333,"Disabled","List"
116,3,2485958,0.017052305,25288060,2418542,46252417,"Disabled","List"
118,3,2831833,0.020091305,30034868,2669625,54772458,"Disabled","List"
120,3,2691667,0.019544597,29214961,2663000,53279125,"Disabled","List"
122,3,2734333,0.017188597,25073237,2690792,46140667,"Disabled","List"
124,3,2718625,0.01952975,29193496,2631167,53239459,"Disabled","List"
126,3,2473125,0.014734749,21294218,2407958,39323166,"Disabled","List"
128,3,2829125,0.019639486,29284279,2635458,53453875,"Disabled","List"
0,3,3142250,0.019994347,29370994,2931959,53908834,"Enabled","List"
2,3,3035417,0.0197205,29027171,2888000,53238083,"Enabled","List"
4,3,2902333,0.019687944,29152700,2810958,53350542,"Enabled","List"
6,3,3052375,0.020864819,30864292,3038250,56503833,"Enabled","List"
8,3,3428083,0.020806347,30173641,3343125,55647833,"Enabled","List"
10,3,3755333,0.021700958,31291280,3514792,57832750,"Enabled","List"
12,3,4215375,0.0217805,30676987,3923292,57202833,"Enabled","List"
14,3,4270458,0.018850291,25564038,3912042,48368375,"Enabled","List"
16,3,4776625,0.02127125,28957360,4329791,54707334,"Enabled","List"
18,3,5603250,0.023659944,31639611,5183167,60193416,"Enabled","List"
20,3,6310333,0.023215666,29642399,5893750,57442916,"Enabled","List"
22,3,7080583,0.023758555,29338761,6560375,57634708,"Enabled","List"
24,3,8128708,0.026332222,32117276,7451958,63416000,"Enabled","List"
26,3,9437500,0.02669418,30694260,8512209,62132833,"Enabled","List"
28,3,10774542,0.028066555,31063707,9496875,63928250,"Enabled","List"
30,3,12035292,0.030162139,32501252,10766917,67684208,"Enabled","List"
32,3,13177417,0.029548111,29589492,11761583,63705334,"Enabled","List"
34,3,15153375,0.032791153,32203816,13259250,69960834,"Enabled","List"
36,3,16695541,0.035721708,34374072,15067250,75402333,"Enabled","List"
38,3,18565250,0.034706847,29710887,16560791,68994500,"Enabled","List"
40,3,20808625,0.039740528,34428351,18932750,79480209,"Enabled","List"
42,3,22622667,0.041616166,34307158,21006167,81219666,"Enabled","List"
44,3,24998917,0.044049514,34389464,23401292,83748333,"Enabled","List"
46,3,27467500,0.046732555,34503074,26164000,86566166,"Enabled","List"
48,3,30220042,0.048792416,32994949,29269458,86887750,"Enabled","List"
50,3,33877500,0.051502041,31976332,32215959,88412666,"Enabled","List"
52,3,36944583,0.056278736,34166332,36163583,95728042,"Enabled","List"
54,3,40201667,0.060789458,36219449,39556292,102610416,"Enabled","List"
56,3,45556000,0.065986389,35753426,45133000,107270167,"Enabled","List"
58,3,48968792,0.069907153,36768547,48390167,112362500,"Enabled","List"
60,3,54377250,0.072603208,32427864,53389042,110043334,"Enabled","List"
62,3,57855042,0.082000916,41918192,57743875,130403833,"Enabled","List"
64,3,64570375,0.085754361,38054312,63006292,129686417,"Enabled","List"
66,3,70191250,0.090773013,36630025,69063083,133064708,"Enabled","List"
68,3,76726708,0.096034347,33947049,76144750,135231584,"Enabled","List"
70,3,82873458,0.104210861,38329728,81298250,148460875,"Enabled","List"
72,3,91408459,0.110188264,33790617,89959000,149197333,"Enabled","List"
74,3,95322750,0.116721708,37210067,95154292,159688083,"Enabled","List"
76,3,104427292,0.125441917,36668459,104115834,167782625,"Enabled","List"
78,3,112061333,0.132936347,36547677,111610541,175137167,"Enabled","List"
80,3,119055875,0.140304722,36805959,119053708,182804583,"Enabled","List"
82,3,130516917,0.150235111,34534919,130076625,190111791,"Enabled","List"
84,3,137635459,0.158325306,36224429,137187584,200152875,"Enabled","List"
86,3,148448625,0.1685325,36081477,146961917,210186959,"Enabled","List"
88,3,160080042,0.179990305,35346492,159089958,220800917,"Enabled","List"
90,3,167911625,0.188643347,37152853,166482584,231535833,"Enabled","List"
92,3,180257750,0.20080518,36993861,178645917,243511875,"Enabled","List"
94,3,193522250,0.21226775,35383286,190201167,253079833,"Enabled","List"
96,3,205404417,0.227187486,37946890,205153500,271004542,"Enabled","List"
98,3,217150250,0.234862416,32846764,214673375,272763625,"Enabled","List"
100,3,228725125,0.252351764,41200411,228404625,299925542,"Enabled","List"
102,3,244311125,0.265641777,37439044,243742791,308871417,"Enabled","List"
104,3,256032834,0.276286833,36949710,253892875,318934792,"Enabled","List"
106,3,269311750,0.291470958,38429021,269256167,335844958,"Enabled","List"
108,3,286821333,0.307760958,37477110,285433166,351028375,"Enabled","List"
110,3,304707584,0.325777097,39390212,301402750,371220958,"Enabled","List"
112,3,319403958,0.339594805,38001347,315950792,383429667,"Enabled","List"
114,3,337858625,0.356426361,33483675,336340416,395080042,"Enabled","List"
116,3,355353042,0.373872055,35210777,351785375,414477750,"Enabled","List"
118,3,371613958,0.391444666,36318151,369359000,433361042,"Enabled","List"
120,3,389977750,0.41064593,36491753,389179583,452780458,"Enabled","List"
122,3,414861666,0.429300013,35561173,403228834,469809541,"Enabled","List"
124,3,431470500,0.450706874,34321456,430317833,490332291,"Enabled","List"
126,3,453449708,0.470612194,32800979,449953208,508433667,"Enabled","List"
128,3,467563542,0.48735443,34518160,467287500,527212250,"Enabled","List"
0,3,3796208,0.013266861,17818774,2183250,33821125,"Disabled","Composite"
2,3,2770209,0.012012972,16206573,2542458,30726250,"Disabled","Composite"
4,3,2691041,0.015288722,21950506,2540292,40634834,"Disabled","Composite"
6,3,2876334,0.020229208,30120747,2801666,55009625,"Disabled","Composite"
8,3,2727750,0.017484541,25778312,2475458,47250416,"Disabled","Composite"
10,3,2936625,0.018127972,26416790,2815916,48631375,"Disabled","Composite"
12,3,2898417,0.019534736,28957998,2733375,52972417,"Disabled","Composite"
14,3,2928709,0.020193069,30033867,2777417,54873083,"Disabled","Composite"
16,3,2877500,0.021759055,32785253,2783500,59616167,"Disabled","Composite"
18,3,2947958,0.020694236,30909953,2748959,56385791,"Disabled","Composite"
20,3,2910042,0.020273069,30206859,2756333,55152833,"Disabled","Composite"
22,3,3112916,0.021417263,31964978,2812041,58326833,"Disabled","Composite"
24,3,2900292,0.016585389,24026527,2527875,44328000,"Disabled","Composite"
26,3,2907500,0.02209943,33346675,2786000,60604791,"Disabled","Composite"
28,3,2924750,0.018838069,27675373,2794708,50794750,"Disabled","Composite"
30,3,3219458,0.021327972,31748418,2777458,57987000,"Disabled","Composite"
32,3,4185583,0.020853208,29908983,2991792,55382250,"Disabled","Composite"
34,3,2726000,0.016936041,24749038,2568500,45513625,"Disabled","Composite"
36,3,3219542,0.020825402,30861625,2796166,56460500,"Disabled","Composite"
38,3,2980417,0.018967972,27835359,2814167,51109334,"Disabled","Composite"
40,3,2909625,0.020102305,29859316,2816459,54580833,"Disabled","Composite"
42,3,3060000,0.020729264,30823788,2806584,56321209,"Disabled","Composite"
44,3,2993500,0.018726138,27411691,2806666,50378250,"Disabled","Composite"
46,3,2956250,0.01911343,28130819,2788084,51595958,"Disabled","Composite"
48,3,2918959,0.019715597,29214934,2777833,53450000,"Disabled","Composite"
50,3,2930500,0.019623819,29035872,2789500,53151459,"Disabled","Composite"
52,3,2914583,0.019388861,28640186,2792375,52459625,"Disabled","Composite"
54,3,2761167,0.017736278,26100960,2572792,47874875,"Disabled","Composite"
56,3,3156041,0.021088916,31350565,2821791,57288917,"Disabled","Composite"
58,3,3101875,0.020018027,29587043,2770541,54181667,"Disabled","Composite"
60,3,2939708,0.020658361,30837201,2769417,56265958,"Disabled","Composite"
62,3,2949834,0.021000167,31273223,2939292,57111375,"Disabled","Composite"
64,3,3236625,0.019349541,28373954,2700500,52111500,"Disabled","Composite"
66,3,2934542,0.02071475,30869576,2849875,56359833,"Disabled","Composite"
68,3,2946083,0.020123638,29816868,2871667,54553166,"Disabled","Composite"
70,3,3278166,0.021536041,31983568,2863250,58466708,"Disabled","Composite"
72,3,3049667,0.020077597,29689539,2823250,54359875,"Disabled","Composite"
74,3,2788250,0.01646393,23789743,2669667,43933875,"Disabled","Composite"
76,3,2911291,0.019427763,28726024,2774375,52597625,"Disabled","Composite"
78,3,2941291,0.019296625,28373710,2888834,52059750,"Disabled","Composite"
80,3,3014083,0.020298402,30097098,2829750,55051375,"Disabled","Composite"
82,3,3122875,0.021630194,32312227,2826959,58940750,"Disabled","Composite"
84,3,3060458,0.019432916,28451800,2952125,52286167,"Disabled","Composite"
86,3,3180208,0.020608014,30506690,2810375,55833459,"Disabled","Composite"
88,3,2937625,0.020411388,30348587,2841666,55454875,"Disabled","Composite"
90,3,4282292,0.020673166,29492024,3017416,54719792,"Disabled","Composite"
92,3,3058458,0.021288486,31610306,3018084,57788917,"Disabled","Composite"
94,3,2609083,0.016603847,24240869,2607667,44594792,"Disabled","Composite"
96,3,3260333,0.021603097,32149323,2823875,58725083,"Disabled","Composite"
98,3,3257333,0.021953347,32734572,2851459,59751250,"Disabled","Composite"
100,3,2952750,0.020047763,29764549,2773791,54416750,"Disabled","Composite"
102,3,3058375,0.020791833,30861688,2889416,56427708,"Disabled","Composite"
104,3,3020625,0.020635847,30599956,2917333,55969583,"Disabled","Composite"
106,3,3082167,0.020299292,29970195,2909959,54905750,"Disabled","Composite"
108,3,2976250,0.020784236,30916424,2893042,56483416,"Disabled","Composite"
110,3,2982708,0.020712486,30724213,2965000,56189750,"Disabled","Composite"
112,3,2963917,0.019795375,29181379,2931084,53491125,"Disabled","Composite"
114,3,3034417,0.021040847,31312951,2890292,57197833,"Disabled","Composite"
116,3,2943084,0.019295889,28379838,2878500,52066083,"Disabled","Composite"
118,3,3117208,0.02053125,30334977,2917667,55558875,"Disabled","Composite"
120,3,2990292,0.016935819,24439077,2662167,45155000,"Disabled","Composite"
122,3,3033083,0.020521499,30407886,2898000,55633416,"Disabled","Composite"
124,3,3062917,0.019531708,28665844,2900166,52632041,"Disabled","Composite"
126,3,3022167,0.020850597,30939233,2953500,56576125,"Disabled","Composite"
128,3,2955750,0.020240764,29979486,2908459,54858083,"Disabled","Composite"
0,3,3066583,0.021865013,32666234,2943792,59584666,"Enabled","Composite"
2,3,4072583,0.020495027,28752531,3717541,53694958,"Enabled","Composite"
4,3,8371209,0.026525375,31911175,7833000,63371916,"Enabled","Composite"
6,3,17155500,0.037387361,36234957,15786167,79220417,"Enabled","Composite"
8,3,35622625,0.057161666,38371391,34398875,101463500,"Enabled","Composite"
10,3,60841625,0.080957194,35758553,59786834,122243125,"Enabled","Composite"
12,3,103366333,0.125016277,37748783,103078000,168604500,"Enabled","Composite"
14,3,173479542,0.195051486,40625179,169762625,241912292,"Enabled","Composite"
16,3,252515125,0.273140499,36379387,251760833,315145541,"Enabled","Composite"
18,3,387329917,0.409185736,41206636,383511333,456715958,"Enabled","Composite"
20,3,557428292,0.56853343,28979304,546749083,601422916,"Enabled","Composite"
22,3,748356583,0.763547125,41327183,731964958,810319834,"Enabled","Composite"
24,3,958622250,0.974865166,28870332,957775083,1008198166,"Enabled","Composite"
26,3,1286390834,1.30141357,44850039,1266003334,1351846542,"Enabled","Composite"
28,3,1544982125,1.555975889,27773099,1535382583,1587562959,"Enabled","Composite"
30,3,1955644291,1.983510819,56809842,1946015000,2048873167,"Enabled","Composite"
32,3,2419747333,2.444205014,43682510,2418230084,2494637625,"Enabled","Composite"
34,3,2890886375,2.892280458,28854768,2864148000,2921807000,"Enabled","Composite"
36,3,3395888125,3.397993249,49790283,3349288916,3448802708,"Enabled","Composite"
38,3,4115286292,4.13361518,60483625,4084416041,4201143208,"Enabled","Composite"
40,3,4774631375,4.778999291,8621383,4773436041,4788930458,"Enabled","Composite"
42,3,5588939667,5.610638389,50949956,5574129834,5668845666,"Enabled","Composite"
44,3,6472756000,6.486559236,42793016,6452371375,6534550333,"Enabled","Composite"
46,3,7510671333,7.518868639,25866011,7498094542,7547840042,"Enabled","Composite"
48,3,8691952750,8.685869014,17923906,8665695084,8699959208,"Enabled","Composite"
50,3,9775387834,9.81925175,103841954,9744539416,9937828000,"Enabled","Composite"
52,3,11171216750,11.185055944,56303072,11136962875,11246988208,"Enabled","Composite"
54,3,12435966583,12.440775152,30199724,12413268209,12473090666,"Enabled","Composite"
56,3,14038334416,14.034957708,43709079,13989658208,14076880500,"Enabled","Composite"
58,3,15385631250,15.399250264,32842760,15375407875,15436711667,"Enabled","Composite"
60,3,17388826750,17.381788847,61587110,17316985125,17439554667,"Enabled","Composite"
62,3,19470079959,19.461898361,30052280,19428602500,19487012625,"Enabled","Composite"
64,3,21221187041,21.19560543,99846854,21085456625,21280172625,"Enabled","Composite"
66,3,23560884042,23.56511593,71694400,23495631208,23638832541,"Enabled","Composite"
68,3,26315636333,26.280562152,110183051,26157111625,26368938500,"Enabled","Composite"
