"program_name","permutation_id","path_id","level_id","conj_type","VCs","percent_specified"
"bst",1665,65,210,"Eliminated",1222,96.8
"bst",1672,65,211,"Eliminated",1330,97.2
"bst",1679,65,212,"Eliminated",1330,97.7
"bst",1686,65,213,"Eliminated",1330,98.2
"bst",1692,65,214,"Eliminated",1338,98.6
"bst",1698,65,215,"Eliminated",1304,99.1
"bst",1703,65,216,"Eliminated",1321,99.5
"bst",1709,65,217,"Eliminated",1321,100
"bst",1717,66,1,"Eliminated",202,0.5
"bst",1723,66,2,"Eliminated",202,0.9
"bst",1729,66,3,"Eliminated",202,1.4
"bst",1735,66,4,"Eliminated",202,1.8
"bst",1741,66,5,"Eliminated",204,2.3
"bst",1747,66,6,"Eliminated",208,2.8
"bst",1752,66,7,"Eliminated",212,3.2
"bst",1758,66,8,"Eliminated",220,3.7
"bst",1764,66,9,"Eliminated",226,4.1
"bst",1770,66,10,"Eliminated",224,4.6
"bst",1776,66,11,"Eliminated",225,5.1
"bst",1782,66,12,"Eliminated",225,5.5
"bst",1788,66,13,"Eliminated",229,6
"bst",1794,66,14,"Eliminated",229,6.5
"bst",1800,66,15,"Eliminated",231,6.9
"bst",1806,66,16,"Eliminated",235,7.4
"bst",1812,66,17,"Eliminated",237,7.8
"bst",1818,66,18,"Eliminated",236,8.3
"bst",1822,66,19,"Eliminated",239,8.8
"bst",1830,66,20,"Eliminated",239,9.2
"bst",1834,66,21,"Eliminated",236,9.7
"bst",1841,66,22,"Eliminated",235,10.1
"bst",1846,66,23,"Eliminated",237,10.6
"bst",1852,66,24,"Eliminated",241,11.1
"bst",1858,66,25,"Eliminated",245,11.5
"bst",1865,66,26,"Eliminated",250,12
"bst",1871,66,27,"Eliminated",250,12.4
"bst",1876,66,28,"Eliminated",250,12.9
"bst",1883,66,29,"Eliminated",254,13.4
"bst",1889,66,30,"Eliminated",253,13.8
"bst",1894,66,31,"Eliminated",254,14.3
"bst",1899,66,32,"Eliminated",259,14.7
"bst",1906,66,33,"Eliminated",259,15.2
