id,path_id,level_id,component_added
1dbbfbff76fdef75d7bfdb3d7aec3be7959fe6e,4,112,m.tree_contains_helper.3.fold.35
1dbbfbff76fdef75d7bfdb3d7aec3be7959ff6e,4,113,p.bstRemove.6.pred.144
1dbbfbff76fdef75f7bfdb3d7aec3be7959ff6e,4,114,m.tree_max_lemma.4.unfold.63
1dbbfbff76ffef75f7bfdb3d7aec3be7959ff6e,4,115,m.tree_main_lemma_bst.3.fold.43
1dbbfbff76ffef75f7bfdb3d7eec3be7959ff6e,4,116,m.tree_remove_helper.0.assert.98
1dbbfbff76ffeff5f7bfdb3d7eec3be7959ff6e,4,117,m.tree_max_helper.4.unfold.53
1dbbfbff76ffeff5f7bfdb3d7eec3bf7959ff6e,4,118,m.tree_remove_lemma_max.1.pre.120
1dbbfbff76ffeff5f7bfdbbd7eec3bf7959ff6e,4,119,m.tree_min_lemma.3.fold.85
1dbbfbff76ffeff5f7bfdbbd7eec3bff959ff6e,4,120,m.tree_remove_lemma_max.2.post.121
1dbffbff76ffeff5f7bfdbbd7eec3bff959ff6e,4,121,m.main.5.inv.10
1dbffbff76ffeff5f7bfdbbd7eec3bffb59ff6e,4,122,m.tree_remove_lemma_min.4.unfold.127
1dbffbff76ffeff5f7bfdbbd7eed3bffb59ff6e,4,123,m.tree_remove_lemma_left.4.unfold.108
1dfffbff76ffeff5f7bfdbbd7eed3bffb59ff6e,4,124,m.create_tree_helper.2.post.6
1dfffbff76ffeff5f7bfdbbd7eed3bffb79ff6e,4,125,m.tree_remove_lemma_right.2.post.131
1dfffbff76ffeff5f7bfdbbd7eef3bffb79ff6e,4,126,m.tree_remove_lemma_left.2.post.107
1dfffbff76ffeff5f7bfdbbd7fef3bffb79ff6e,4,127,m.tree_remove_helper.3.fold.100
1dfffbff76ffeff5f7bfdbbd7fef3bffb7bff6e,4,128,m.tree_remove_lemma_right.3.fold.135
1dffffff76ffeff5f7bfdbbd7fef3bffb7bff6e,4,129,m.tree_add.4.unfold.18
1dffffff76ffeff5f7bfdbbd7fef3bffb7bffee,4,130,p.bstRemove.6.pred.145
1dffffff76ffeff5f7bfdbbd7fef3fffb7bffee,4,131,m.tree_remove_lemma_left2.2.post.114
1dffffff76ffeff5f7bfdbbd7fef3ffff7bffee,4,132,m.tree_remove_lemma_min.2.post.126
1dffffff76ffeff5f7bffbbd7fef3ffff7bffee,4,133,m.tree_min_helper.3.fold.79
1dffffff76ffeff5f7bffbbd7fff3ffff7bffee,4,134,m.tree_remove_lemma.3.fold.104
1dffffff76ffeff5f7bffbbd7fff3fffffbffee,4,135,m.tree_remove_lemma_right.1.pre.129
1dffffff76ffeffdf7bffbbd7fff3fffffbffee,4,136,m.tree_max_helper.0.assert.57
1dffffff76ffeffdf7bffbbdffff3fffffbffee,4,137,m.tree_remove_helper.4.unfold.93
1dffffff76ffeffdf7bffbbdffff3ffffffffee,4,138,m.tree_remove_lemma_right.3.fold.134
1dffffff76ffeffdf7bffbbdffff3ffffffffef,4,139,p.treeRemove.6.pred.152
1dffffff76ffeffdffbffbbdffff3ffffffffef,4,140,m.tree_min.1.pre.65
1dffffff76ffeffdffbffbbdffff7ffffffffef,4,141,m.tree_remove_lemma_left.3.fold.110
1dffffff76ffeffdffbffbbfffff7ffffffffef,4,142,m.tree_remove_helper.2.post.91
1dfffffff6ffeffdffbffbbfffff7ffffffffef,4,143,m.tree_contains.3.fold.29
1dfffffff6ffeffdffbffbffffff7ffffffffef,4,144,m.tree_remove.1.pre.86
