"conjuncts","type","path_id","level_id","example"
277,"static",0,74,"bst"
279,"static",0,75,"bst"
281,"static",0,76,"bst"
284,"static",0,77,"bst"
288,"static",0,78,"bst"
288,"static",0,79,"bst"
290,"static",0,80,"bst"
292,"static",0,81,"bst"
299,"static",0,82,"bst"
299,"static",0,83,"bst"
300,"static",0,84,"bst"
304,"static",0,85,"bst"
304,"static",0,86,"bst"
306,"static",0,87,"bst"
307,"static",0,88,"bst"
317,"static",0,89,"bst"
318,"static",0,90,"bst"
320,"static",0,91,"bst"
327,"static",0,92,"bst"
335,"static",0,93,"bst"
340,"static",0,94,"bst"
340,"static",0,95,"bst"
341,"static",0,96,"bst"
340,"static",0,97,"bst"
344,"static",0,98,"bst"
344,"static",0,99,"bst"
348,"static",0,100,"bst"
348,"static",0,101,"bst"
348,"static",0,102,"bst"
358,"static",0,103,"bst"
391,"static",0,104,"bst"
393,"static",0,105,"bst"
395,"static",0,106,"bst"
395,"static",0,107,"bst"
402,"static",0,108,"bst"
403,"static",0,109,"bst"
405,"static",0,110,"bst"
412,"static",0,111,"bst"
413,"static",0,112,"bst"
419,"static",0,113,"bst"
427,"static",0,114,"bst"
437,"static",0,115,"bst"
441,"static",0,116,"bst"
445,"static",0,117,"bst"
448,"static",0,118,"bst"
486,"static",0,119,"bst"
489,"static",0,120,"bst"
489,"static",0,121,"bst"
525,"static",0,122,"bst"
531,"static",0,123,"bst"
533,"static",0,124,"bst"
533,"static",0,125,"bst"
537,"static",0,126,"bst"
539,"static",0,127,"bst"
571,"static",0,128,"bst"
584,"static",0,129,"bst"
594,"static",0,130,"bst"
600,"static",0,131,"bst"
604,"static",0,132,"bst"
604,"static",0,133,"bst"
610,"static",0,134,"bst"
620,"static",0,135,"bst"
650,"static",0,136,"bst"
654,"static",0,137,"bst"
657,"static",0,138,"bst"
661,"static",0,139,"bst"
663,"static",0,140,"bst"
666,"static",0,141,"bst"
679,"static",0,142,"bst"
673,"static",0,143,"bst"
677,"static",0,144,"bst"
677,"static",0,145,"bst"
679,"static",0,146,"bst"
694,"static",0,147,"bst"
704,"static",0,148,"bst"
711,"static",0,149,"bst"
716,"static",0,150,"bst"
719,"static",0,151,"bst"
721,"static",0,152,"bst"
721,"static",1,152,"bst"
725,"static",0,153,"bst"
725,"static",1,153,"bst"
725,"static",2,153,"bst"
725,"static",3,153,"bst"
725,"static",4,153,"bst"
725,"static",5,153,"bst"
725,"static",6,153,"bst"
725,"static",7,153,"bst"
140,"static",1,1,"bst"
142,"static",1,2,"bst"
152,"static",1,3,"bst"
150,"static",1,4,"bst"
152,"static",1,5,"bst"
152,"static",1,6,"bst"
152,"static",1,7,"bst"
154,"static",1,8,"bst"
156,"static",1,9,"bst"
156,"static",1,10,"bst"
158,"static",1,11,"bst"
155,"static",1,12,"bst"
154,"static",1,13,"bst"
153,"static",1,14,"bst"
153,"static",1,15,"bst"
161,"static",1,16,"bst"
161,"static",1,17,"bst"
170,"static",1,18,"bst"
172,"static",1,19,"bst"
175,"static",1,20,"bst"
177,"static",1,21,"bst"
177,"static",1,22,"bst"
177,"static",1,23,"bst"
177,"static",1,24,"bst"
179,"static",1,25,"bst"
182,"static",1,26,"bst"
182,"static",1,27,"bst"
180,"static",1,28,"bst"
182,"static",1,29,"bst"
182,"static",1,30,"bst"
184,"static",1,31,"bst"
191,"static",1,32,"bst"
194,"static",1,33,"bst"
200,"static",1,34,"bst"
204,"static",1,35,"bst"
206,"static",1,36,"bst"
206,"static",1,37,"bst"
210,"static",1,38,"bst"
212,"static",1,39,"bst"
212,"static",1,40,"bst"
210,"static",1,41,"bst"
212,"static",1,42,"bst"
217,"static",1,43,"bst"
219,"static",1,44,"bst"
219,"static",1,45,"bst"
220,"static",1,46,"bst"
224,"static",1,47,"bst"
228,"static",1,48,"bst"
228,"static",1,49,"bst"
229,"static",1,50,"bst"
237,"static",1,51,"bst"
242,"static",1,52,"bst"
242,"static",1,53,"bst"
247,"static",1,54,"bst"
249,"static",1,55,"bst"
251,"static",1,56,"bst"
253,"static",1,57,"bst"
259,"static",1,58,"bst"
260,"static",1,59,"bst"
262,"static",1,60,"bst"
256,"static",1,61,"bst"
257,"static",1,62,"bst"
268,"static",1,63,"bst"
276,"static",1,64,"bst"
277,"static",1,65,"bst"
282,"static",1,66,"bst"
295,"static",1,67,"bst"
293,"static",1,68,"bst"
295,"static",1,69,"bst"
296,"static",1,70,"bst"
298,"static",1,71,"bst"
301,"static",1,72,"bst"
300,"static",1,73,"bst"
306,"static",1,74,"bst"
307,"static",1,75,"bst"
307,"static",1,76,"bst"
309,"static",1,77,"bst"
313,"static",1,78,"bst"
314,"static",1,79,"bst"
310,"static",1,80,"bst"
314,"static",1,81,"bst"
316,"static",1,82,"bst"
320,"static",1,83,"bst"
321,"static",1,84,"bst"
323,"static",1,85,"bst"
322,"static",1,86,"bst"
325,"static",1,87,"bst"
325,"static",1,88,"bst"
325,"static",1,89,"bst"
327,"static",1,90,"bst"
347,"static",1,91,"bst"
351,"static",1,92,"bst"
351,"static",1,93,"bst"
351,"static",1,94,"bst"
357,"static",1,95,"bst"
357,"static",1,96,"bst"
358,"static",1,97,"bst"
364,"static",1,98,"bst"
371,"static",1,99,"bst"
377,"static",1,100,"bst"
380,"static",1,101,"bst"
380,"static",1,102,"bst"
380,"static",1,103,"bst"
382,"static",1,104,"bst"
383,"static",1,105,"bst"
392,"static",1,106,"bst"
396,"static",1,107,"bst"
418,"static",1,108,"bst"
421,"static",1,109,"bst"
426,"static",1,110,"bst"
431,"static",1,111,"bst"
431,"static",1,112,"bst"
456,"static",1,113,"bst"
456,"static",1,114,"bst"
453,"static",1,115,"bst"
454,"static",1,116,"bst"
455,"static",1,117,"bst"
458,"static",1,118,"bst"
461,"static",1,119,"bst"
463,"static",1,120,"bst"
472,"static",1,121,"bst"
499,"static",1,122,"bst"
494,"static",1,123,"bst"
523,"static",1,124,"bst"
527,"static",1,125,"bst"
531,"static",1,126,"bst"
531,"static",1,127,"bst"
564,"static",1,128,"bst"
564,"static",1,129,"bst"
567,"static",1,130,"bst"
572,"static",1,131,"bst"
580,"static",1,132,"bst"
592,"static",1,133,"bst"
596,"static",1,134,"bst"
605,"static",1,135,"bst"
615,"static",1,136,"bst"
617,"static",1,137,"bst"
618,"static",1,138,"bst"
630,"static",1,139,"bst"
630,"static",1,140,"bst"
633,"static",1,141,"bst"
643,"static",1,142,"bst"
647,"static",1,143,"bst"
652,"static",1,144,"bst"
652,"static",1,145,"bst"
656,"static",1,146,"bst"
664,"static",1,147,"bst"
671,"static",1,148,"bst"
702,"static",1,149,"bst"
706,"static",1,150,"bst"
718,"static",1,151,"bst"
142,"static",2,1,"bst"
144,"static",2,2,"bst"
148,"static",2,3,"bst"
150,"static",2,4,"bst"
148,"static",2,5,"bst"
148,"static",2,6,"bst"
148,"static",2,7,"bst"
150,"static",2,8,"bst"
148,"static",2,9,"bst"
146,"static",2,10,"bst"
148,"static",2,11,"bst"
150,"static",2,12,"bst"
149,"static",2,13,"bst"
157,"static",2,14,"bst"
159,"static",2,15,"bst"
158,"static",2,16,"bst"
