"id","path_id","level_id","component_added","stress","median","verification","diff","pdiff","context_name","context_type","bst_component_type","example","classification","list_component_type","composite_component_type"
"1dfffffff6ffeffdffbffbbfffff7ffffffffef",4,93.5,"m.tree_contains.3.fold.pred_inst.29",56,118199804,"gradual",-47791291,-28.8,"tree_contains","fold","pred_inst","bst","min",NA,NA
"1dfffffff6ffeffdffbffbbfffff7ffffffffef",4,93.5,"m.tree_contains.3.fold.pred_inst.29",60,165316409,"gradual",-57294648,-25.7,"tree_contains","fold","pred_inst","bst","min",NA,NA
"1dfffffff6ffeffdffbffbbfffff7ffffffffef",4,93.5,"m.tree_contains.3.fold.pred_inst.29",64,188237909,"gradual",-71145798,-27.4,"tree_contains","fold","pred_inst","bst","min",NA,NA
"f7fdffffffefffefffffffe4fffffffffffffd",7,93.5,"p.bst.6.pred.acc.140",60,241821846,"gradual",-49920165,-17.1,"bst","pred","acc","bst","min",NA,NA
"f7fdffffffefffefffffffe4fffffffffffffd",7,93.5,"p.bst.6.pred.acc.140",64,272042545,"gradual",-53156091,-16.3,"bst","pred","acc","bst","min",NA,NA
"1dffffffffffeffdffbffbffffff7ffffffffef",4,95.4,"m.tree_contains_helper.3.fold.pred_inst.33",52,40449248,"gradual",-42569189,-51.3,"tree_contains_helper","fold","pred_inst","bst","min",NA,NA
"1dffffffffffeffdffbffbffffff7ffffffffef",4,95.4,"m.tree_contains_helper.3.fold.pred_inst.33",56,57143003,"gradual",-61677410,-51.9,"tree_contains_helper","fold","pred_inst","bst","min",NA,NA
"1dffffffffffeffdffbffbffffff7ffffffffef",4,95.4,"m.tree_contains_helper.3.fold.pred_inst.33",60,79372999,"gradual",-84944281,-51.7,"tree_contains_helper","fold","pred_inst","bst","min",NA,NA
"1dffffffffffeffdffbffbffffff7ffffffffef",4,95.4,"m.tree_contains_helper.3.fold.pred_inst.33",64,90487467,"gradual",-95355639,-51.3,"tree_contains_helper","fold","pred_inst","bst","min",NA,NA
"1ffcefffffffffffffffffdfffffdfffffffff7",2,96.1,"m.tree_remove_helper.3.fold.pred_inst.96",56,50267485,"gradual",-36657568,-42.2,"tree_remove_helper","fold","pred_inst","bst","min",NA,NA
"1ffcefffffffffffffffffdfffffdfffffffff7",2,96.1,"m.tree_remove_helper.3.fold.pred_inst.96",60,68476295,"gradual",-53560002,-43.9,"tree_remove_helper","fold","pred_inst","bst","min",NA,NA
"1ffcefffffffffffffffffdfffffdfffffffff7",2,96.1,"m.tree_remove_helper.3.fold.pred_inst.96",64,73836405,"gradual",-63929940,-46.4,"tree_remove_helper","fold","pred_inst","bst","min",NA,NA
"1fffffffffffffffebffffffffedfffffff9fff",3,96.1,"m.main.5.inv.default.13",60,52507340,"gradual",-40267058,-43.4,"main","inv","default","bst","min",NA,NA
"1fffffffffffffffebffffffffedfffffff9fff",3,96.1,"m.main.5.inv.default.13",64,56181207,"gradual",-46745015,-45.4,"main","inv","default","bst","min",NA,NA
"1ff7dfff7fffffffffffffbffffffbffff7ffff",6,96.1,"m.tree_contains_helper.1.pre.pred_inst.30",52,55033902,"gradual",-42435414,-43.5,"tree_contains_helper","pre","pred_inst","bst","min",NA,NA
