permutation_id,conj_elim,conj_total
4584,318,435
4591,318,439
4598,326,455
4604,326,457
4610,329,463
4615,329,463
4620,336,467
4626,336,467
4628,362,521
4634,363,523
4642,363,524
4646,369,537
4653,372,543
4659,375,550
4668,377,555
4673,381,555
4677,384,560
4685,408,601
4691,409,602
4696,409,602
4705,412,604
4710,414,606
4713,415,608
4721,418,610
4726,417,610
4733,423,615
4736,423,619
4742,425,621
4748,427,623
4754,428,625
4760,433,630
4765,439,635
4772,444,640
4777,444,641
4784,444,644
4790,446,646
4793,448,648
4800,448,650
4807,448,651
4813,448,653
4819,453,659
4825,453,659
4831,458,661
4837,461,663
4839,461,663
4845,464,669
4851,466,671
4857,471,674
4864,475,675
4871,475,679
4875,478,676
4883,480,677
4888,493,697
4892,493,697
4898,517,733
4904,520,735
4910,520,735
4916,522,737
4922,534,757
4928,537,759
4934,542,763
4940,556,791
4947,558,793
4954,556,797
4961,558,799
4969,560,800
4975,562,803
4979,562,803
4985,562,803
4991,563,803
4997,565,803
5004,565,803
5010,565,803
5016,574,816
5023,593,853
5029,593,853
5035,604,870
5042,605,870
5047,640,932
5052,640,932
5059,640,932
5063,649,928
5070,649,934
5077,650,935
5081,656,946
5088,656,946
5094,657,947
5101,684,1011
5107,684,1011
5113,684,1011
5122,685,1012
5127,685,1012
5131,704,1050
5140,705,1051
5142,707,1055
5150,712,1059
5156,783,1148
5163,783,1148
5168,783,1148
5175,784,1151
5181,786,1152
5186,786,1152
5192,794,1169
5198,794,1169
5203,808,1186
5211,804,1189
5218,881,1323
5224,914,1379
5227,916,1385
5235,916,1385
5241,918,1387
5247,926,1381
5255,939,1417
5257,950,1410
5265,946,1415
5273,967,1427
5280,967,1427
5283,985,1493
5290,985,1493
5298,996,1514
5304,1025,1573
5310,1025,1573
5316,1036,1566
5323,1027,1575
5329,1027,1575
5332,1053,1583
5338,1055,1616
5344,1068,1637
5350,1068,1637
5356,1068,1637
5362,1084,1652
5368,1084,1652
5376,1095,1645
5381,1095,1645
5388,1095,1645
5394,1084,1652
5400,1097,1647
5406,1086,1654
5412,1086,1654
5418,1096,1673
5424,1096,1673
5430,1110,1670
5436,1104,1683
5442,1115,1676
5448,1104,1683
5454,1131,1737
5460,1158,1732
5466,1164,1546
5472,1147,1557
5479,1153,1561
5485,1170,1550
5491,1160,1555
5497,1161,1562
5501,1178,1551
5507,1267,1699
5516,1267,1699
5522,1267,1699
5528,1313,1677
5534,1313,1677
5539,1279,1709
5545,1318,1681
5552,1279,1709
5559,1327,1603
5563,1327,1603
5571,1336,1610
5578,1336,1610
5586,1352,1612
5590,1326,1476
5595,1333,1470
5601,1340,1464
5607,1321,1321
5613,1321,1321
5623,202,274
5630,202,274
5636,199,274
5639,201,276
5646,202,277
5653,204,279
5657,206,281
5664,206,281
5670,213,293
5676,211,293
5682,211,295
5688,215,299
5694,215,299
5696,219,299
5702,219,301
5707,220,303
5711,220,303
5720,222,305
5723,221,305
5729,223,307
5735,223,311
5741,225,312
5745,228,318
5752,228,319
5759,230,321
5765,229,321
5772,231,325
5778,234,326
5784,233,326
5791,238,331
5797,240,331
5803,240,331
5808,241,332
5812,243,334
5821,243,334
5827,243,336
5834,248,345
5837,246,345
5847,246,347
5850,246,353
5856,248,355
5865,249,357
5872,251,359
5878,255,364
5885,276,390
5891,276,390
5895,283,401
5899,283,403
5907,286,406
5911,292,417
5917,308,445
5923,308,445
5929,312,451
5935,312,453
5939,318,457
5945,320,459
5953,322,462
5957,322,463
5965,322,465
5970,323,466
5976,360,520
5982,359,520
5988,368,537
5994,369,537
6000,369,537
6006,375,548
6011,377,549
6017,390,562
6024,408,594
6030,420,596
6035,422,599
6041,422,602
6048,434,620
6054,435,621
6061,439,630
6068,439,632
6071,441,635
6081,445,637
6084,447,639
6094,449,641
6100,449,641
6107,453,649
6111,455,651
6118,458,655
6126,466,671
6130,483,688
6136,482,686
6142,487,696
6148,487,697
6154,489,699
6160,510,731
6166,512,733
6172,511,733
6178,524,759
6185,532,764
6192,532,765
6198,533,769
6205,535,771
6210,537,773
6217,537,773
6223,546,772
6230,559,794
6236,564,798
6240,577,820
6247,640,921
6253,672,971
6258,684,971
6266,687,975
6271,687,975
6276,689,977
6283,696,982
6289,700,986
6295,707,992
6301,723,1019
6307,725,1021
6313,730,1027
6317,734,1030
6325,747,1057
6329,760,1083
6335,767,1088
6341,771,1090
6347,771,1090
6353,771,1090
6359,774,1093
6365,775,1093
6371,776,1094
6377,777,1095
6383,785,1085
6389,791,1092
6395,791,1092
6401,804,1119
6403,814,1139
6409,814,1139
6415,823,1145
6420,823,1145
6431,823,1151
6434,823,1151
6444,823,1156
6450,834,1178
6456,835,1180
6460,835,1180
6466,831,1188
6470,831,1188
6478,833,1190
6485,833,1190
6491,849,1195
6497,851,1197
6502,909,1309
6509,909,1309
6514,911,1311
6521,915,1315
6528,915,1315
6532,918,1317
6541,922,1321
6547,922,1321
6553,926,1324
6559,926,1324
6565,926,1324
6570,926,1324
6576,926,1324
6582,926,1324
6589,939,1349
6593,952,1374
6602,961,1373
6607,961,1373
6614,963,1374
6620,930,1273
6624,963,1374
6629,963,1374
6639,930,1273
6644,931,1274
6650,964,1375
6653,1030,1485
6660,986,1358
6668,986,1358
6674,1040,1499
6678,1015,1391
6686,1059,1518
6693,1060,1519
6700,1023,1386
6704,1060,1519
6711,1023,1386
6719,1077,1554
6722,1093,1581
6728,1129,1590
6738,1166,1723
6743,1166,1723
6750,1084,1463
6757,1166,1723
6761,1172,1729
6766,1172,1729
6773,1245,1871
6779,1245,1871
6787,1248,1873
6794,1248,1694
6800,1186,1430
6808,1248,1694
6813,1248,1694
6820,1208,1410
6825,1256,1686
6831,1259,1687
6837,1275,1714
6843,1275,1714
6849,1227,1438
6855,1241,1428
6861,1241,1428
6867,1290,1719
6873,1256,1433
6879,1256,1433
6885,1259,1356
6891,1259,1356
6897,1265,1362
6903,1285,1348
6908,1292,1342
6914,1300,1335
6921,1321,1321
6927,1321,1321
6937,204,272
6943,204,272
6949,203,272
6955,205,274
6961,207,276
6965,207,277
6971,206,277
6977,206,279
6982,206,279
6989,208,281
6995,208,283
7001,214,291
7008,216,293
7013,220,300
7021,226,301
7026,226,304
7033,230,307
7038,234,309
7044,233,309
7050,234,314
7055,242,327
7061,246,331
7066,246,333
7072,246,335
7078,248,337
7084,248,337
7090,252,341
7096,252,344
7102,252,347
7108,260,360
7114,260,361
7119,267,372
7125,272,380
7131,278,383
7137,279,384
7145,281,386
7150,280,386
7155,283,388
7161,284,389
7167,286,393
7173,286,393
7181,295,405
7187,295,406
7192,297,409
7198,297,410
7204,299,412
7210,304,412
7217,306,414
7223,306,414
7229,311,418
7235,311,420
7240,316,430
7246,342,480
7252,345,483
7257,351,495
7263,355,503
7269,355,504
7275,356,511
7279,362,523
7288,371,532
7294,376,532
7299,378,534
7305,378,534
7311,383,539
7317,385,541
7323,390,544
7329,398,555
7333,401,557
7341,408,564
7346,410,566
7352,410,566
7358,414,570
7364,421,584
7370,427,596
7376,427,601
7382,427,603
7388,430,607
7393,432,609
7398,434,611
7405,444,625
7411,444,626
7418,454,644
7425,464,649
7431,464,655
7438,472,657
7444,472,657
7450,477,663
7456,478,664
7462,478,666
7468,480,668
7474,485,672
7480,491,675
7486,500,693
7492,501,694
7498,503,696
7504,507,700
7511,519,724
7516,526,727
7521,529,731
7527,529,731
7533,569,786
7539,569,786
7545,569,786
7551,571,787
7557,574,791
7563,618,859
7568,633,887
7575,633,887
7581,648,915
7586,648,915
7592,652,919
7598,652,921
7604,670,961
7610,670,961
7615,672,967
7621,675,971
7628,691,1002
7634,693,1004
7638,695,1006
7645,697,1012
7654,707,1021
7661,716,1030
7667,716,1030
7673,716,1032
7680,719,1036
7685,727,1043
7691,727,1043
7696,728,1043
7703,728,1043
7709,735,1055
7714,737,1056
7719,737,1056
7726,739,1057
7730,755,1084
7738,762,1087
7744,767,1082
7749,767,1082
7756,767,1082
7762,808,1142
7768,808,1142
7777,806,1148
7783,806,1148
7787,874,1275
7795,875,1277
7800,880,1279
7806,888,1294
7813,913,1355
7819,913,1355
7825,1009,1471
7830,1011,1473
7836,1020,1454
7842,1037,1484
7848,1068,1541
7854,1068,1541
7859,1068,1541
7866,1083,1556
7873,1083,1556
7879,1084,1555
7885,1092,1548
7891,1091,1549
7897,1091,1549
7902,1091,1549
7912,1094,1553
7917,1109,1575
7924,1180,1705
7929,1180,1705
7935,1180,1707
7940,1183,1706
7946,1185,1704
7952,1186,1704
7958,1203,1734
7964,1201,1738
7969,1213,1741
7976,1214,1742
7981,1211,1747
7986,1217,1753
7992,1217,1753
7998,1226,1759
8004,1226,1759
8010,1206,1695
8016,1226,1759
8022,1226,1759
8028,1226,1759
8034,1206,1695
8040,1207,1696
8046,1227,1760
8052,1227,1760
8058,1182,1637
8064,1188,1643
8071,1241,1759
8077,1241,1759
8083,1269,1801
8088,1277,1794
8095,1277,1794
8103,1274,1640
8107,1274,1640
8113,1282,1798
8119,1274,1640
8125,1280,1645
8131,1288,1803
8137,1288,1803
8143,1289,1636
8149,1290,1806
8155,1290,1806
8161,1290,1806
8167,1298,1631
8173,1304,1804
8179,1304,1804
8185,1270,1675
8191,1270,1675
8197,1277,1503
8203,1277,1503
8209,1277,1503
8215,1277,1503
8221,1297,1412
8225,1321,1321
8232,1321,1321
8240,202,272
8246,204,274
8252,206,276
8258,206,278
8263,208,280
8269,208,282
8277,208,283
8283,210,285
8289,209,285
8295,211,287
8301,211,288
8307,213,290
8313,217,294
8317,219,297
8325,221,299
8332,225,303
8338,229,308
8346,229,309
8351,235,318
8357,235,319
8363,235,319
8369,234,319
8375,236,319
8381,238,321
8386,246,332
8392,246,333
8398,268,373
8402,282,397
8410,282,397
8416,282,397
8420,286,401
8428,287,402
8435,289,404
8440,290,406
8446,292,408
8452,292,410
8459,294,412
8465,297,414
8472,297,414
8477,299,416
8483,306,427
8489,306,427
8495,308,429
8500,313,438
8504,314,440
8512,314,441
8518,328,465
8523,330,467
8529,330,468
8535,333,472
8541,333,472
8545,338,481
8550,344,490
8559,344,492
8564,346,494
8569,344,494
8575,348,498
8581,349,499
8588,349,499
8594,350,500
8600,352,502
8606,352,507
8612,352,508
8618,352,512
8624,354,514
8630,354,514
8636,356,516
8642,358,518
8648,360,520
8654,362,522
8660,375,548
8664,380,552
8671,382,557
8677,388,553
8684,390,555
8689,410,590
8696,412,592
8701,412,592
8707,414,594
8713,417,595
8719,417,595
8725,417,598
8731,427,615
8737,428,616
8747,462,649
8751,464,651
8757,468,653
8763,471,655
8768,472,655
8774,477,662
8780,481,664
8787,485,663
8792,495,677
8798,499,683
8803,501,685
8809,506,690
8814,508,692
8821,508,695
8828,509,697
8836,513,700
8839,513,701
8846,514,703
8854,514,703
8858,516,705
8864,517,711
8870,517,713
8876,522,720
8882,524,722
8886,526,725
8892,548,781
8898,553,783
8904,557,790
8907,620,902
8916,646,947
8923,668,1003
8926,696,1048
8932,698,1049
8938,712,1073
8944,718,1079
8950,718,1079
8956,719,1086
8962,726,1101
8968,739,1126
8971,739,1126
8980,739,1126
8985,765,1178
8993,765,1178
8998,769,1182
9004,773,1188
9010,772,1188
9016,798,1240
9022,798,1240
9027,805,1247
9033,805,1247
9039,807,1249
9048,814,1255
9054,814,1255
9059,814,1255
9064,814,1254
9072,816,1256
9077,816,1256
9084,819,1261
9091,822,1263
9097,831,1268
9103,831,1269
9110,833,1271
9114,837,1274
9122,839,1275
9126,842,1271
9134,853,1273
9139,854,1274
9146,851,1278
9152,851,1278
9158,908,1395
9164,908,1395
9171,911,1391
9175,915,1400
9181,915,1400
9190,990,1488
9194,999,1447
9202,1008,1515
9208,1007,1454
9215,1005,1429
9220,1005,1429
9226,1043,1572
9233,1043,1572
9239,1043,1572
9245,1053,1577
9252,1028,1459
9258,1036,1465
9264,1036,1465
9269,1061,1583
9275,1043,1459
9281,1096,1671
9287,1096,1671
9293,1075,1534
9299,1100,1674
9306,1100,1674
9312,1106,1680
9318,1085,1543
9324,1115,1685
9330,1116,1686
9336,1095,1549
9342,1095,1549
9348,1132,1713
9354,1132,1713
9359,1159,1767
9365,1159,1767
9372,1151,1609
9378,1159,1767
9385,1151,1609
9392,1167,1774
9398,1167,1774
9406,1157,1545
9412,1157,1545
9418,1157,1545
9424,1159,1547
9430,1178,1566
9435,1189,1578
9441,1189,1578
9447,1153,1444
9453,1153,1444
9459,1153,1444
9466,1154,1444
9472,1165,1438
9478,1165,1438
9484,1166,1438
9491,1212,1232
9497,1300,1337
9503,1307,1331
9509,1307,1331
9515,1307,1331
9521,1307,1331
9526,1307,1331
9531,1321,1321
9537,1321,1321
9543,1321,1321
9553,206,276
9559,212,284
9564,214,286
9570,216,288
9577,216,288
9583,216,293
9589,215,293
9594,221,301
9602,219,301
9608,219,303
9614,223,307
9620,227,311
9626,227,312
9633,229,314
9637,231,316
9643,233,318
9649,235,320
9655,233,320
9661,243,330
9667,243,337
9672,243,338
9677,249,346
9683,253,350
9689,255,354
9695,255,354
9701,255,354
9709,255,354
9716,257,356
9721,257,356
9728,256,356
9735,258,358
9741,260,360
9747,263,362
9753,281,387
9758,287,396
9762,291,401
9767,291,401
9772,289,399
9777,301,411
9782,336,482
9787,343,494
9792,346,500
9797,348,502
9802,353,509
9808,355,511
9812,360,518
9817,377,563
9822,383,569
9827,388,573
9832,387,573
9837,387,573
9842,387,573
9847,386,573
9853,387,574
9858,387,575
9864,390,580
9868,395,583
9872,412,615
9878,413,621
9883,448,670
9889,451,673
9892,455,673
9899,455,673
9904,472,703
9909,474,705
9914,488,731
9918,490,733
9923,500,739
9928,500,741
9933,505,746
9938,508,750
9943,524,780
9948,524,781
9955,532,797
9959,543,808
9964,548,811
9969,548,812
9974,548,812
9979,550,816
9984,557,821
9989,558,823
9994,577,856
10000,578,858
10005,629,943
10010,641,948
10015,641,948
10020,641,949
10025,643,951
10030,643,954
10035,653,973
10040,653,973
10045,653,973
10050,663,987
10056,663,987
10060,665,990
10065,664,998
10070,677,1000
10075,679,1002
10080,699,1042
10085,699,1044
10090,703,1048
10095,706,1051
10100,708,1055
10105,721,1057
10109,724,1059
10113,725,1059
10117,727,1061
10121,727,1061
10125,729,1063
10129,748,1098
10133,751,1101
10137,757,1106
10141,757,1106
10145,765,1114
10149,778,1140
10153,779,1141
10157,782,1144
10161,806,1178
10165,806,1178
10169,828,1220
10173,829,1220
10177,829,1220
10181,831,1222
10185,832,1223
10189,841,1229
10193,860,1264
10197,871,1264
10201,871,1264
10205,881,1269
10209,881,1269
10213,890,1285
10217,893,1287
10221,901,1301
10225,901,1301
10229,995,1469
10233,999,1472
10237,1000,1472
10241,1007,1479
10245,1009,1483
10249,1009,1483
10253,1011,1484
10257,1011,1484
10261,1014,1486
10265,1013,1494
10269,1017,1497
10273,1017,1497
10277,1017,1497
10281,1022,1503
10285,1024,1505
10289,1026,1508
10293,1026,1508
10297,1026,1508
10301,1027,1510
10305,1006,1468
10309,1030,1516
10313,1034,1519
10317,1070,1589
10321,1047,1543
10325,1070,1589
10329,1074,1593
10333,1108,1680
10337,1111,1682
10341,1111,1682
10345,1086,1630
10349,1113,1683
10353,1113,1683
10357,1089,1632
10360,1123,1690
10364,1123,1690
10368,1124,1691
10372,1133,1681
10375,1133,1681
10379,1167,1769
10383,1167,1769
10387,1168,1773
10391,1169,1773
10395,1159,1729
10399,1184,1788
10403,1184,1788
10407,1159,1729
10411,1199,1793
10415,1179,1714
10419,1179,1714
10423,1179,1714
10427,1234,1837
10431,1184,1718
10435,1261,1877
10439,1261,1877
10443,1249,1727
10447,1253,1731
10450,1253,1731
10454,1265,1881
10458,1267,1882
10462,1255,1732
10466,1270,1884
10470,1258,1734
10474,1270,1884
10477,1270,1884
10481,1270,1884
