stress,mean,stddev,median,user,system,min,max
16,0.14497297083333335,0.006512111577867607,0.14727763750000003,0.06094986,0.026982653333333332,0.13762192950000002,0.1500193455
17,0.14794674850000003,0.0015378447100448788,0.1473291375,0.061408526666666664,0.02742132,0.14681372050000002,0.14969738750000003
18,0.14795452650000004,0.0013136178446233873,0.1483922625,0.061659526666666666,0.027175320000000003,0.14647792950000002,0.14899338750000002
19,0.14520916516666668,0.003427527668239354,0.14423209550000002,0.061014193333333334,0.02722165333333333,0.14237626250000002,0.1490191375
20,0.14485190116666669,0.0077818501352134315,0.14894497050000002,0.06119119333333333,0.02700198666666667,0.13587772050000002,0.1497330125
21,0.1475331931666667,0.0013412854363670451,0.1473785545,0.06119219333333333,0.027287986666666667,0.1462759295,0.1489450955
22,0.14669583216666668,0.0015162628665723846,0.14735780450000002,0.061528526666666666,0.027309986666666664,0.14496113750000003,0.1477685545
23,0.1428549151666667,0.005135366583876595,0.14513447050000003,0.06074652666666667,0.02680698666666666,0.13697438750000002,0.14645588750000002
24,0.1476317901666667,0.003298625474884994,0.1486923045,0.06154219333333333,0.02716965333333333,0.14393334550000003,0.1502697205
25,0.14397424850000004,0.004143399478082825,0.14159872050000002,0.06098419333333333,0.026888653333333335,0.14156542950000003,0.14875859550000003
26,0.1461297625,0.0016719433350520611,0.14537788750000002,0.06114319333333334,0.02696098666666667,0.1449657625,0.14804563750000002
27,0.14371770683333338,0.004696409313474,0.14235292950000003,0.06064719333333333,0.02667732,0.13985484550000002,0.14894534550000002
28,0.1432014431666667,0.002872916347491742,0.14209122050000003,0.060861193333333334,0.026912986666666666,0.14104930450000003,0.14646380450000002
29,0.14513834583333335,0.0017459228823096151,0.1453916795,0.06129086,0.027118653333333336,0.14327959550000002,0.1467437625
30,0.14559880416666668,0.005675865608629438,0.14745797050000004,0.06141152666666666,0.02720565333333333,0.1392265125,0.15011192950000002
31,0.14520623483333334,0.004078365718403185,0.14485780450000002,0.060800860000000005,0.026852986666666665,0.1413132625,0.1494476375
32,0.14540035983333335,0.0025571075077488047,0.1466933045,0.06147586,0.02706232,0.14245497050000003,0.14705280450000002
33,0.1466779155,0.0035153203964166605,0.14572780450000003,0.06132352666666666,0.027269653333333334,0.14373530450000002,0.15057063750000002
34,0.14203197083333335,0.009147106516439893,0.14627317950000002,0.060764193333333334,0.026532653333333333,0.13153409550000003,0.14828863750000001
35,0.14541998483333338,0.00524869548224226,0.14760622050000002,0.06162952666666666,0.027043653333333334,0.13943155450000003,0.14922217950000002
36,0.14770570716666667,0.000936412743824182,0.14774305450000003,0.06111486,0.027003319999999997,0.14675117950000002,0.14862288750000002
37,0.14313351250000003,0.005129632428511724,0.14572992950000002,0.06089252666666667,0.02692532,0.1372247625,0.14644584550000003
38,0.1426624151666667,0.0027048566175141933,0.14140392950000003,0.06129686,0.027253319999999998,0.14081609550000002,0.14576722050000002
39,0.14504231816666668,0.0049097238652414475,0.14726642950000002,0.061444193333333334,0.027068986666666666,0.1394141375,0.14844638750000003
40,0.14577524883333334,0.0018208393281798194,0.1463352625,0.06062786,0.02687798666666667,0.1437401795,0.1472503045
41,0.1459941931666667,0.0015572857285386995,0.14655305450000003,0.06147386,0.027289986666666665,0.14423459550000003,0.14719492950000002
42,0.1467581095,0.00020274583895359783,0.1467983455,0.06144319333333333,0.02706665333333333,0.14653826250000002,0.1469377205
43,0.14875972083333336,0.0027699079556182554,0.14968088750000003,0.06132052666666667,0.027158986666666666,0.14564659550000003,0.15095167950000002
44,0.14473999883333336,0.001955449687040386,0.1454203045,0.060743193333333334,0.02728065333333333,0.1425352625,0.14626442950000001
45,0.14342113750000002,0.0006056729960457134,0.14347622050000003,0.061048193333333334,0.027357653333333332,0.14278980450000003,0.14399738750000002
46,0.1482054431666667,0.004522522270764443,0.14998447050000002,0.060903193333333334,0.027082986666666666,0.14306392950000002,0.15156792950000003
47,0.1421904291666667,0.004813117318091081,0.14255501250000002,0.06115719333333333,0.02723365333333333,0.13720538750000003,0.14681088750000001
48,0.15309055383333334,0.006676518184481216,0.15112034550000003,0.062098860000000006,0.027082986666666666,0.14762084550000001,0.16053047050000002
49,0.14554197083333334,0.0028525650387804177,0.14666772050000002,0.06149552666666667,0.02715498666666667,0.14229830450000003,0.14765988750000003
50,0.14860019283333337,0.0035236959124329086,0.1474484705,0.061443859999999996,0.027397986666666665,0.14579647050000002,0.15255563750000004
51,0.1472790125,0.002309431165328163,0.14754592950000003,0.061049860000000004,0.027961653333333333,0.14484772050000003,0.14944338750000002
52,0.1402695401666667,0.003490784413286831,0.13987376250000003,0.06070452666666667,0.026787653333333338,0.13699351250000003,0.1439413455
53,0.1440929985,0.005678376650723076,0.14316409550000003,0.06147786,0.027089653333333335,0.13893634550000003,0.15017855450000003
54,0.14661941516666668,0.002097310987382736,0.1466901375,0.06137052666666667,0.026835319999999996,0.14448763750000002,0.14868047050000002
