"id","VCs","conj_type","path_id","level_id","example","% Specified"
"1000a1320010c0008244080240f01103000200900120402618000000000000000",179,"eliminated",0,36,"bst",17.2248803827751
"1000a1320010c0008244080240f81103000200900120402618000000000000000",182,"eliminated",0,37,"bst",17.7033492822967
"1000a1320010c0008244080240f8110300020090012040261a000000000000000",185,"eliminated",0,38,"bst",18.1818181818182
"1000a1320010c0008244080340f8110300020090012040261a000000000000000",187,"eliminated",0,39,"bst",18.6602870813397
"1000a1320010c0008244080344f8110300020090012040261a000000000000000",189,"eliminated",0,40,"bst",19.1387559808612
"1000a1320010c00082440a0344f8110300020090012040261a000000000000000",189,"eliminated",0,41,"bst",19.6172248803828
"1000a1320010c00082440a0344f8110300020090012040661a000000000000000",208,"eliminated",0,42,"bst",20.0956937799043
"1000a1320010c00092440a0344f8110300020090012040661a000000000000000",210,"eliminated",0,43,"bst",20.5741626794258
"1000a1320010c00892440a0344f8110300020090012040661a000000000000000",215,"eliminated",0,44,"bst",21.0526315789474
"1000a1321010c00892440a0344f8110300020090012040661a000000000000000",246,"eliminated",0,45,"bst",21.5311004784689
"1000a1321010c00892440a2344f8110300020090012040661a000000000000000",247,"eliminated",0,46,"bst",22.0095693779904
"1000a3321010c00892440a2344f8110300020090012040661a000000000000000",248,"eliminated",0,47,"bst",22.488038277512
"1000a3321010c00892440a2344f8110300020190012040661a000000000000000",252,"eliminated",0,48,"bst",22.9665071770335
"1000a3321010c20892440a2344f8110300020190012040661a000000000000000",254,"eliminated",0,49,"bst",23.444976076555
"1000a3321010c20892440a2344f8110302020190012040661a000000000000000",256,"eliminated",0,50,"bst",23.9234449760766
"1000a3321010c20892440a2344f8110302020190412040661a000000000000000",256,"eliminated",0,51,"bst",24.4019138755981
"1000a3321010c20892440a2344f8110302020190412040661b000000000000000",260,"eliminated",0,52,"bst",24.8803827751196
"1000b3321010c20892440a2344f8110302020190412040661b000000000000000",256,"eliminated",0,53,"bst",25.3588516746411
"1000b3321010c20892440a2344f8110302020190412040e61b000000000000000",284,"eliminated",0,54,"bst",25.8373205741627
"1000b3321010c20892440a2344f8110302020194412040e61b000000000000000",289,"eliminated",0,55,"bst",26.3157894736842
"1000b3321010c20893440a2344f8110302020194412040e61b000000000000000",292,"eliminated",0,56,"bst",26.7942583732057
"1000b3321010c20893448a2344f8110302020194412040e61b000000000000000",297,"eliminated",0,57,"bst",27.2727272727273
"1000b3321010c20893448a2344f8110302020194412040e65b000000000000000",309,"eliminated",0,58,"bst",27.7511961722488
"1000b3321010c60893448a2344f8110302020194412040e65b000000000000000",309,"eliminated",0,59,"bst",28.2296650717703
"1000b3321010c60893448a2344f8110302020194412040e65f000000000000000",313,"eliminated",0,60,"bst",28.7081339712919
"1000b3321010c60893448a234cf8110302020194412040e65f000000000000000",314,"eliminated",0,61,"bst",29.1866028708134
"1000b3321010c60893448a234cf9110302020194412040e65f000000000000000",315,"eliminated",0,62,"bst",29.6650717703349
"1000b3321010c60893449a234cf9110302020194412040e65f000000000000000",317,"eliminated",0,63,"bst",30.1435406698565
"1000b3321010c60893449a236cf9110302020194412040e65f000000000000000",319,"eliminated",0,64,"bst",30.622009569378
"1200b3321010c60893449a236cf9110302020194412040e65f000000000000000",319,"eliminated",0,65,"bst",31.1004784688995
"1200b3321010c60893449a236cf9110302024194412040e65f000000000000000",320,"eliminated",0,66,"bst",31.578947368421
"1200b3321010c60893449a236cf911030202419441a040e65f000000000000000",325,"eliminated",0,67,"bst",32.0574162679426
"1200b3321010c60893449a236cf911030202419441a044e65f000000000000000",343,"eliminated",0,68,"bst",32.5358851674641
"1200b3321010c60893449a236cf911031202419441a044e65f000000000000000",350,"eliminated",0,69,"bst",33.0143540669856
"1200b3325010c60893449a236cf911031202419441a044e65f000000000000000",356,"eliminated",0,70,"bst",33.4928229665072
"1200f3325010c60893449a236cf911031202419441a044e65f000800000000000",356,"eliminated",0,71,"bst",33.9712918660287
"1200f3325010c60893449a236cf911131202419441a044e65f000800000000000",356,"eliminated",0,72,"bst",34.4497607655502
"1200f3325010c608934c9a236cf911131202419441a044e65f000800000000000",352,"eliminated",0,73,"bst",34.9282296650718
"1240f3325010c608934c9a236cf911131202419441a044e65f000800000000000",366,"eliminated",0,74,"bst",35.4066985645933
"1240f3325010c608934c9a236cf911131202419441a045e65f000800000000000",366,"eliminated",0,75,"bst",35.8851674641148
"1240f3325010c608934c9b236cf911131202419441a045e65f000800000000000",374,"eliminated",0,76,"bst",36.3636363636364
"1240f3325010c608934c9b236cf911131202499441a045e65f000800000000000",380,"eliminated",0,77,"bst",36.8421052631579
"1240f3325010c608934c9b236cf91113120249b441a045e65f000800000000000",380,"eliminated",0,78,"bst",37.3205741626794
