id,95th,5th,median,mean,stdev,min,max
814421707112435d880b020004c8704350ab059c457825688b080200000000040,423129205.00,405471213.0,405471213,409034106.2,10342726.57,403045243,427365696
6dbd5b37775d7d75dbb7fdbb76ff871d7febb7d3eddbb7dfcffeffadff3b28a7f7,722758489.20,719828405.0,719828405,719823639.8,2481269.24,716451738,723377710
6dbd5b66255d6835db853532762bb6197fc387d3e598b6caafbe96000804005402,646594644.60,643722758.0,643722758,644043852.4,2349095.15,641411324,646695859
6dbd5b77755d7d75dbb7fdbb76ffb75d7fe9b7dbecd3b7dfecfbdfe27ebd32ae31,507264649.80,502528763.0,502528763,503330051.2,3038281.84,500317877,507916384
10000032001000008044080040c01101000200800120002608000000000000000,294129784.20,293561891.0,293561891,293478806.2,649283.79,292527991,294179838
6dbd5f37771d2d70dbb7e9b276cfb71d7be9a6db659bb75e6dfaa78a6000400001,647110421.20,644775604.0,644775604,643700194.8,3155466.48,639820388,647609919
a91201020020445004402800202118320a800008190041001080000000000000,309988570.60,303373582.0,303373582,303614571.4,4850271.39,299145623,311588394
6dbd5b66255d6835db853432762bb6197d8387d3e598b6ca8fb696000804005402,680486729.20,674416173.0,674416173,675501955.2,3775554.67,671509800,681667498
6dbd5b77775d7d75dbb7fdbb76ffb75d7fe9b7dbeddbb7dfeffef7ffffbf7ebfff,272907558.40,272667234.0,272667234,272111248.8,1126367.47,270221990,272931961
41005100600c090402935100222284551820100000089510000a00000000000000,331200234.20,326808944.0,326808944,327168906,3125721.67,323745552,332047607
6cbf4b67734d0974db97fdba76eca75c5feba7d9ed9993dfeffae43476a0080807,628686220.40,627574072.0,627574072,626829124,2157019.27,623242522,628935402
daf5a325511247190b7fd3b56fe86451be91781ed5bb4cdec7884002080000040,533574212.80,524416445.0,524416445,527151295,4987998.19,522715874,534404641
6dbd5b66255d6935dba5bd32762bb6197fcb87d3e5d9b7caafbede800804005402,693690768.60,691143375.0,691143375,691322108.2,2181921.24,688861406,693802327
6dbd5a66775d7d7ddbb3fdbb76ffb75c7feba7d3eddb375feffafb193b3e7ad701,538877934.40,536787151.0,536787151,536475488.8,2241892.41,533855671,539067267
28b04802144c0010131601a01401a20c400186028950310548e800000000000000,396778143.40,395638314.0,395638314,395091047.4,1815592.37,392193899,396984378
6dbd5b77775d7d75dbb7fdbb767fb75d7febb7dbedd9b7dfeffeffffefbe7e7e1f,400649413.80,397565574.0,397565574,397513979.4,2429992.75,395268504,401374648
20000200000010000000000000000220000000000830000000000000000,256600649.00,255535758.0,255535758,255231459.8,1344217.51,253574687,256690881
6dbd5f37771d2d71dbb7e9b276cfb71d7beba6dbe59bb75e6dfaa78a6000480041,680176843.80,677260830.0,677260830,677428730.8,2369456.29,674095596,680753480
2d3d5a77375d7d75da87f52b36ffa7153febb7dbedd7b75fa9f2a36a5803200043,637568982.80,634276410.0,634276410,633137393.6,3909608.70,629171347,638283399
6cb75b77775d7d75dbb7fdbb76ffb75d7febb7dbedcbb7deeffae77fefbc5aff73,412235524.20,410140948.0,410140948,409187067,2854536.91,405344400,412710190
2888ca1767197c619b25c9b3162720553ea3179be581b71fed5802080000000000,501331224.40,499632243.0,499632243,499321516.4,1799108.31,497114756,501583880
1402120610003558003020004c87003502205844438204889000000000000000,333436665.40,332942705.0,332942705,331962343,1735420.86,329705354,333503870
4c881a66475d61509781e138541b160d322ba558449a93ca068880020200000000,534633276.60,532832333.0,532832333,533357475.2,1181653.46,532030101,534650515
6d844a7537580c2408a27cb30428a71d37e8a5d185da87540a66c2000000000003,459992322.00,459374294.0,459374294,458322321.6,1975733.28,455297260,460136793
800020004606000110100000020044000220040000002830000000000000000,334917138.40,332778916.0,332778916,332698065,1822519.21,330882423,335269034
49a51f3765092c708935c9b236cfb51173e024db651b255e65f880802000000000,577704405.80,575089365.0,575089365,574340233.6,3056406.92,570058060,578320272
6daf5977775d3d75d9b7d5ba36ffb71d77ea97dbeddab5dfee9ac435583308150a,583641522.20,580624249.0,580624249,581490129.4,1893146.88,579462534,583734886
6dbd5b77775d7d75dbb7fdbb76ffb75d7febb7dbeddbb7dfeffeffffffbe7effff,209971035.20,207591584.0,207591584,208086055,1757344.94,205773104,210056794
6dbd5b77775d6d75dbb7fdbb76fbb75d7febb7dbeddbb7dfaffefffc7ebc6ad7f7,750200148.00,748259487.0,748259487,747015753.4,3457084.52,742475625,750318354
6dbd5a6677557d7ddbb3f9bb767fb75c7feba7d3eddb375feffafb19323e7ad701,537706111.80,533565194.0,533565194,534512834.6,2965705.50,531758724,537732239
6dbf5b77775d7d75dba7fdbb76fbb55d7febb7dbeddbb7dfeffabfbff6bc1cff97,441181322.80,437748799.0,437748799,438256906.8,2225649.31,435998791,441988903
44235a16555c5d351835f5b356cd850477a9819b4d8ab58ec7e006000000000000,603289916.00,584866768.0,584866768,589677362.6,9879511.65,583790374,607124572
d8f5937735c7c751ba7f5aa76db315537c3b342add9b75be79aa6222000000100,545874705.00,538926521.0,538926521,540115069.6,4439559.65,535098471,547220762
2400080020000020000010000008010021208001000a0000000200000000000000,271899363.00,270294974.0,270294974,269773246,1853313.28,267924639,272259997
8204252450d55445b93451030b5030010a1031929833007076000000000000000,439489694.60,429429063.0,429429063,431958088.6,5473441.53,428149790,441186414
6dbd5b77775d7d75dbb7fdbb76ff975d7febb7dbeddbb7dfeffeffffffbf3effdf,341750533.40,340666309.0,340666309,340524822.8,1116925.06,339027383,341896203
6dbd5a77775d7d75db97fdbb76ffa75d7febb7dbedd7b75febf2bf6ffa9b24f54b,512944079.00,511808510.0,511808510,511631376.2,1185653.52,510311514,513079553
44005a00140c5c0110240400564100000220010a0182940ac34000000000000000,380845958.60,372278376.0,372278376,374420388.2,4649109.18,371378079,382464276
6dbf5b77775d7d75dba7fdbb76ffb55d7febb7dbeddbb7dfeffaffbff6bc1effdf,403579701.00,399994603.0,399994603,401016033.2,2361381.82,398615362,403601854
24347b4541007d0598a7f8b872c1951449c892d8ad9a360a8afa01000000000002,542215470.00,538770261.0,538770261,538834249.6,3134065.23,534440330,542532229
4c9d1917741c1c74dbb7fdbb72d3234c7fa3a6d16539b693cffa242020a8100082,544983643.40,541838503.0,541838503,542056633.4,2255479.51,539715732,545607436
2db1c972135559755333c43956fea65d7f6332c2acdab6caed7882000000100001,589784692.20,588217779.0,588217779,587883688.8,1616741.89,585890586,590160953
