id,path_id,level_id,component_added
10000032001040008044080040c01101000200900120402608000000000000000,0,26,m.tree_remove_lemma_right.2.post.pred_inst.112.133
10000032001040008044080240c01101000200900120402608000000000000000,0,27,m.tree_min.4.unfold.pred_inst.57.70
10000032001040008244080240c01101000200900120402608000000000000000,0,28,m.tree_max_helper.1.pre.bool.42.51
10000032001040008244080240c01103000200900120402608000000000000000,0,29,m.tree_remove_helper.3.fold.pred_inst.78.94
10000032001040008244080240e01103000200900120402608000000000000000,0,30,m.tree_min_helper.0.assert.bool.65.80
10008032001040008244080240e01103000200900120402608000000000000000,0,31,m.main.5.inv.bool.10.13
10008132001040008244080240e01103000200900120402608000000000000000,0,32,m.tree_add.1.pre.pred_inst.12.18
1000a132001040008244080240e01103000200900120402608000000000000000,0,33,m.main.5.inv.bool.11.14
1000a1320010c0008244080240e01103000200900120402608000000000000000,0,34,m.tree_contains_helper.3.fold.pred_inst.28.36
1000a1320010c0008244080240e01103000200900120402618000000000000000,0,35,p.bstRemove.6.pred.bool.118.149
1000a1320010c0008244080240f01103000200900120402618000000000000000,0,36,m.tree_min_helper.3.fold.pred_inst.66.81
1000a1320010c0008244080240f81103000200900120402618000000000000000,0,37,m.tree_min_helper.3.fold.pred_inst.67.82
1000a1320010c0008244080240f8110300020090012040261a000000000000000,0,38,p.bstRemove.6.pred.acc.118.152
1000a1320010c0008244080340f8110300020090012040261a000000000000000,0,39,m.tree_min.3.fold.pred_inst.58.71
1000a1320010c0008244080344f8110300020090012040261a000000000000000,0,40,m.tree_min_helper.2.post.pred_inst.60.75
1000a1320010c00082440a0344f8110300020090012040261a000000000000000,0,41,m.tree_max_lemma.2.post.pred_inst.52.64
1000a1320010c00082440a0344f8110300020090012040661a000000000000000,0,42,p.bst.6.pred.pred_inst.117.140
1000a1320010c00092440a0344f8110300020090012040661a000000000000000,0,43,m.tree_max.4.unfold.pred_inst.40.49
1000a1320010c00892440a0344f8110300020090012040661a000000000000000,0,44,m.tree_main_lemma_bst.4.unfold.pred_inst.36.44
1000a1321010c00892440a0344f8110300020090012040661a000000000000000,0,45,m.tree_add_helper.3.fold.pred_inst.19.27
1000a1321010c00892440a2344f8110300020090012040661a000000000000000,0,46,m.tree_min.1.pre.bool.55.67
1000a3321010c00892440a2344f8110300020090012040661a000000000000000,0,47,m.tree_add.1.pre.bool.12.17
1000a3321010c00892440a2344f8110300020190012040661a000000000000000,0,48,m.tree_remove_lemma_left2.1.pre.bool.97.114
1000a3321010c20892440a2344f8110300020190012040661a000000000000000,0,49,m.tree_main_lemma.4.unfold.pred_inst.32.40
1000a3321010c20892440a2344f8110302020190012040661a000000000000000,0,50,m.tree_remove_helper.3.fold.pred_inst.86.102
1000a3321010c20892440a2344f8110302020190412040661a000000000000000,0,51,m.tree_remove_lemma_max.1.pre.pred_inst.103.122
1000a3321010c20892440a2344f8110302020190412040661b000000000000000,0,52,p.bstRemove.6.pred.acc.118.153
1000b3321010c20892440a2344f8110302020190412040661b000000000000000,0,53,m.main.5.inv.bool.11.15
1000b3321010c20892440a2344f8110302020190412040e61b000000000000000,0,54,p.bst.6.pred.pred_inst.117.139
1000b3321010c20892440a2344f8110302020194412040e61b000000000000000,0,55,m.tree_remove_lemma_left2.3.fold.pred_inst.101.119
1000b3321010c20893440a2344f8110302020194412040e61b000000000000000,0,56,m.tree_max_helper.1.pre.pred_inst.42.52
