"program_name","permutation_id","path_id","level_id","conj_type","VCs","percent_specified"
"bst",2294,66,118,"Eliminated",766,56.5
"bst",2300,66,119,"Eliminated",774,56.9
"bst",2306,66,120,"Eliminated",784,57.4
"bst",2311,66,121,"Eliminated",786,57.9
"bst",2317,66,122,"Eliminated",787,58.4
"bst",2323,66,123,"Eliminated",787,58.9
"bst",2329,66,124,"Eliminated",787,59.3
"bst",2335,66,125,"Eliminated",794,59.8
"bst",2340,66,126,"Eliminated",807,60.3
"bst",2350,66,127,"Eliminated",807,60.8
"bst",2354,66,128,"Eliminated",829,61.2
"bst",2358,66,129,"Eliminated",847,61.7
"bst",2364,66,130,"Eliminated",849,62.2
"bst",2370,66,131,"Eliminated",852,62.7
"bst",2376,66,132,"Eliminated",852,63.2
"bst",2382,66,133,"Eliminated",852,63.6
"bst",2389,66,134,"Eliminated",855,64.1
"bst",2395,66,135,"Eliminated",855,64.6
"bst",2401,66,136,"Eliminated",855,65.1
"bst",2407,66,137,"Eliminated",862,65.6
"bst",2413,66,138,"Eliminated",862,66
"bst",2419,66,139,"Eliminated",873,66.5
"bst",2422,66,140,"Eliminated",883,67
"bst",2429,66,141,"Eliminated",904,67.5
"bst",2434,66,142,"Eliminated",904,67.9
"bst",2440,66,143,"Eliminated",904,68.4
"bst",2446,66,144,"Eliminated",914,68.9
"bst",2452,66,145,"Eliminated",914,69.4
"bst",2456,66,146,"Eliminated",915,69.9
"bst",2461,66,147,"Eliminated",917,70.3
"bst",2467,66,148,"Eliminated",923,70.8
"bst",2473,66,149,"Eliminated",917,71.3
"bst",2479,66,150,"Eliminated",919,71.8
"bst",2485,66,151,"Eliminated",919,72.2
"bst",2489,66,152,"Eliminated",925,72.7
"bst",2496,66,153,"Eliminated",931,73.2
"bst",2501,66,154,"Eliminated",936,73.7
"bst",2507,66,155,"Eliminated",940,74.2
"bst",2515,66,156,"Eliminated",940,74.6
"bst",2520,66,157,"Eliminated",940,75.1
"bst",2525,66,158,"Eliminated",1038,75.6
"bst",2531,66,159,"Eliminated",1050,76.1
"bst",2537,66,160,"Eliminated",1036,76.6
"bst",2543,66,161,"Eliminated",1036,77
"bst",2549,66,162,"Eliminated",1046,77.5
"bst",2555,66,163,"Eliminated",1046,78
"bst",2560,66,164,"Eliminated",1047,78.5
"bst",2566,66,165,"Eliminated",1048,78.9
"bst",2572,66,166,"Eliminated",1048,79.4
"bst",2579,66,167,"Eliminated",1062,79.9
"bst",2584,66,168,"Eliminated",1064,80.4
"bst",2592,66,169,"Eliminated",1065,80.9
"bst",2597,66,170,"Eliminated",1065,81.3
"bst",2603,66,171,"Eliminated",1065,81.8
"bst",2609,66,172,"Eliminated",1065,82.3
"bst",2614,66,173,"Eliminated",1065,82.8
"bst",2621,66,174,"Eliminated",1065,83.3
"bst",2627,66,175,"Eliminated",1065,83.7
"bst",2632,66,176,"Eliminated",1094,84.2
"bst",2640,66,177,"Eliminated",1094,84.7
"bst",2648,66,178,"Eliminated",1106,85.2
"bst",2654,66,179,"Eliminated",1106,85.6
"bst",2658,66,180,"Eliminated",1123,86.1
"bst",2664,66,181,"Eliminated",1123,86.6
"bst",2670,66,182,"Eliminated",1123,87.1
"bst",2676,66,183,"Eliminated",1123,87.6
"bst",2682,66,184,"Eliminated",1143,88
"bst",2688,66,185,"Eliminated",1124,88.5
"bst",2694,66,186,"Eliminated",1124,89
"bst",2700,66,187,"Eliminated",1136,89.5
"bst",2706,66,188,"Eliminated",1131,90
"bst",2712,66,189,"Eliminated",1173,90.4
"bst",2718,66,190,"Eliminated",1177,90.9
"bst",2724,66,191,"Eliminated",1203,91.4
"bst",2730,66,192,"Eliminated",1228,91.9
"bst",2735,66,193,"Eliminated",1242,92.3
"bst",2741,66,194,"Eliminated",1245,92.8
"bst",2745,66,195,"Eliminated",1245,93.3
"bst",2751,66,196,"Eliminated",1245,93.8
"bst",2757,66,197,"Eliminated",1258,94.3
"bst",2763,66,198,"Eliminated",1266,94.7
"bst",2769,66,199,"Eliminated",1266,95.2
"bst",2775,66,200,"Eliminated",1266,95.7
"bst",2781,66,201,"Eliminated",1273,96.2
"bst",2783,66,202,"Eliminated",1307,96.7
"bst",2790,66,203,"Eliminated",1307,97.1
"bst",2795,66,204,"Eliminated",1281,97.6
"bst",2803,66,205,"Eliminated",1295,98.1
"bst",2809,66,206,"Eliminated",1295,98.6
"bst",2816,66,207,"Eliminated",1302,99
"bst",2822,66,208,"Eliminated",1302,99.5
"bst",2828,66,209,"Eliminated",1283,100
"bst",2835,67,1,"Eliminated",191,0.5
"bst",2841,67,2,"Eliminated",193,1
"bst",2847,67,3,"Eliminated",193,1.4
"bst",2853,67,4,"Eliminated",193,1.9
"bst",2858,67,5,"Eliminated",195,2.4
"bst",2865,67,6,"Eliminated",195,2.9
"bst",2871,67,7,"Eliminated",194,3.3
"bst",2877,67,8,"Eliminated",194,3.8
"bst",2883,67,9,"Eliminated",198,4.3
"bst",2889,67,10,"Eliminated",197,4.8
"bst",2895,67,11,"Eliminated",201,5.3
"bst",2901,67,12,"Eliminated",201,5.7
"bst",2906,67,13,"Eliminated",206,6.2
"bst",2912,67,14,"Eliminated",209,6.7
"bst",2918,67,15,"Eliminated",211,7.2
"bst",2922,67,16,"Eliminated",213,7.7
"bst",2928,67,17,"Eliminated",215,8.1
"bst",2936,67,18,"Eliminated",213,8.6
"bst",2942,67,19,"Eliminated",213,9.1
"bst",2947,67,20,"Eliminated",215,9.6
"bst",2953,67,21,"Eliminated",220,10
"bst",2959,67,22,"Eliminated",224,10.5
"bst",2964,67,23,"Eliminated",226,11
"bst",2970,67,24,"Eliminated",234,11.5
"bst",2976,67,25,"Eliminated",234,12
"bst",2982,67,26,"Eliminated",236,12.4
"bst",2987,67,27,"Eliminated",238,12.9
"bst",2993,67,28,"Eliminated",240,13.4
"bst",2998,67,29,"Eliminated",240,13.9
"bst",3004,67,30,"Eliminated",242,14.4
"bst",3010,67,31,"Eliminated",244,14.8
"bst",3016,67,32,"Eliminated",262,15.3
"bst",3022,67,33,"Eliminated",262,15.8
"bst",3028,67,34,"Eliminated",288,16.3
"bst",3034,67,35,"Eliminated",293,16.7
"bst",3039,67,36,"Eliminated",295,17.2
"bst",3047,67,37,"Eliminated",295,17.7
"bst",3054,67,38,"Eliminated",297,18.2
"bst",3060,67,39,"Eliminated",299,18.7
"bst",3068,67,40,"Eliminated",305,19.1
"bst",3072,67,41,"Eliminated",305,19.6
"bst",3078,67,42,"Eliminated",307,20.1
"bst",3084,67,43,"Eliminated",308,20.6
"bst",3090,67,44,"Eliminated",314,21.1
"bst",3096,67,45,"Eliminated",316,21.5
"bst",3101,67,46,"Eliminated",346,22
"bst",3107,67,47,"Eliminated",348,22.5
"bst",3111,67,48,"Eliminated",348,23
"bst",3117,67,49,"Eliminated",350,23.4
"bst",3123,67,50,"Eliminated",352,23.9
"bst",3129,67,51,"Eliminated",352,24.4
"bst",3135,67,52,"Eliminated",355,24.9
"bst",3141,67,53,"Eliminated",355,25.4
"bst",3147,67,54,"Eliminated",355,25.8
"bst",3154,67,55,"Eliminated",355,26.3
"bst",3159,67,56,"Eliminated",358,26.8
"bst",3165,67,57,"Eliminated",358,27.3
"bst",3172,67,58,"Eliminated",360,27.8
"bst",3176,67,59,"Eliminated",360,28.2
"bst",3182,67,60,"Eliminated",360,28.7
"bst",3188,67,61,"Eliminated",360,29.2
"bst",3194,67,62,"Eliminated",369,29.7
"bst",3197,67,63,"Eliminated",376,30.1
"bst",3203,67,64,"Eliminated",399,30.6
"bst",3211,67,65,"Eliminated",400,31.1
"bst",3217,67,66,"Eliminated",401,31.6
"bst",3224,67,67,"Eliminated",401,32.1
"bst",3228,67,68,"Eliminated",403,32.5
"bst",3234,67,69,"Eliminated",406,33
"bst",3240,67,70,"Eliminated",409,33.5
"bst",3246,67,71,"Eliminated",411,34
"bst",3249,67,72,"Eliminated",411,34.4
