id,stress,iter,median,mean,stdev,min,max
69f7fbfffffdffffbf7f,32,7,11656189,11658311,88706,11541513,11801223
69f7fbfffffdffffbf7f,64,7,76738639,77050039,885697,76270965,78706784
69f7fbfffffdffffbf7f,128,7,576239471,577115075,3390818,572558183,583079324
1b9ae0104f291f977f12,32,7,6687908,6687512,72041,6603681,6805158
1b9ae0104f291f977f12,64,7,41427378,41583351,337486,41099643,42035531
1b9ae0104f291f977f12,128,7,297931281,298446786,2646360,295986903,303569082
3aa54e1396ed92a936a0,32,7,6780226,6809753,58688,6752904,6897223
3aa54e1396ed92a936a0,64,7,40978643,40942309,381607,40333599,41444461
3aa54e1396ed92a936a0,128,7,299590074,299008910,3576717,294727931,304509577
65e0902c38a263c0800a,32,7,1426628,1468778,105225,1366601,1652332
65e0902c38a263c0800a,64,7,2672119,2703308,84674,2614350,2865776
65e0902c38a263c0800a,128,7,7664257,7695857,84226,7606460,7857588
7ffffff7ffdffbfffff5,32,7,11627391,11626830,74009,11524026,11716061
7ffffff7ffdffbfffff5,64,7,77238887,77184365,700343,76346651,77945641
7ffffff7ffdffbfffff5,128,7,583911691,584326189,5109596,576784361,591125476
8000050040,32,7,1391912,1387867,35742,1336379,1431950
8000050040,64,7,2666591,2662461,21906,2617729,2687886
8000050040,128,7,7577900,7585947,46547,7523955,7648816
7dfbdd7dbff77bd2d66b,32,7,6190899,6222224,73169,6163799,6366306
7dfbdd7dbff77bd2d66b,64,7,39652994,39664683,437356,39158183,40262767
7dfbdd7dbff77bd2d66b,128,7,293956119,293158043,2135629,290441721,296112851
166ef40750ad5495d1fd,32,7,6749659,6809476,152932,6693625,7143698
166ef40750ad5495d1fd,64,7,40684776,40855502,421803,40449396,41750591
166ef40750ad5495d1fd,128,7,296900460,296936560,1225686,295302334,298575840
22012020058002400020,32,7,1418823,1428376,61134,1350807,1528311
22012020058002400020,64,7,2779579,2778814,66674,2708026,2888292
22012020058002400020,128,7,7670437,7721712,124387,7610841,7975565
577ff6077ffffdd5ddff,32,7,11680612,11713509,139772,11560369,11954052
577ff6077ffffdd5ddff,64,7,76090938,76507427,1125545,75675099,78859208
577ff6077ffffdd5ddff,128,7,577283102,580239982,6521047,573015136,588689297
800000000,32,7,6676426,6663494,33307,6608257,6699676
800000000,64,7,40660406,40708919,332897,40216538,41128151
800000000,128,7,296882271,297633836,1603961,295913633,300325414
2629b06c77c223ef1774,32,7,1415676,1420508,39437,1375789,1480554
2629b06c77c223ef1774,64,7,2688731,2710158,65731,2654863,2807819
2629b06c77c223ef1774,128,7,7651738,7664608,96395,7549982,7839858
206120000560c940000c,32,7,1391969,1381392,39114,1335674,1429119
206120000560c940000c,64,7,2708801,2694123,32594,2640463,2725682
206120000560c940000c,128,7,7603692,7591175,33980,7542028,7633414
7bfdcedfffeffabfbffc,32,7,6680092,6707754,57023,6649205,6785511
7bfdcedfffeffabfbffc,64,7,41079630,41097468,363210,40398432,41424600
7bfdcedfffeffabfbffc,128,7,300731921,300296683,3973286,293144513,305031658
6863b9eb7f6cdf7f155f,32,7,6785241,6780176,99922,6602492,6886603
6863b9eb7f6cdf7f155f,64,7,41022871,40959345,364065,40250470,41449237
6863b9eb7f6cdf7f155f,128,7,300239692,299993168,3205357,296448732,304189636
